,prediction,real_values,metrics
2020-05-10 15:45:00,"[3.382223311446457, 3.3437036512495393, 3.3035206161834036, 3.2617070281948406, 3.218302705760927, 3.1733545910016154]","[3, 3, 3, 3, 3, 3]",0.28941034256863485
2020-05-10 16:00:00,"[3.2703209426677837, 3.2269088152217433, 3.1820062361742973, 3.1356669145050438, 3.08795149935581, 3.0389275811611243]","[3, 3, 3, 3, 3, 3]",0.17575723170601845
2020-05-10 16:15:00,"[3.105381739096098, 3.057452045325546, 3.00823238529323, 2.957797293368154, 2.906228003192992, 2.8536123155774615]","[3, 3, 3, 3, 3, 3]",0.08801271744984994
2020-05-10 16:30:00,"[2.9942563390022934, 2.9429229830648045, 2.8905221006380337, 2.837148353691352, 2.7829027084497717, 2.7278921610667517]","[3, 3, 3, 3, 3, 3]",0.16480835065078384
2020-05-10 16:45:00,"[2.815872725009962, 2.761294801758388, 2.70592525313746, 2.6498784113531824, 2.593274077239196, 2.53623709967829]","[3, 3, 3, 3, 2, 2]",0.39570032146332373
2020-05-10 17:00:00,"[2.6662635500313545, 2.60993139221609, 2.5531937528769975, 2.496177490859428, 2.439013426278371, 2.3818358213128734]","[3, 2, 2, 2, 2, 2]",0.47856436954645526
2020-05-10 17:15:00,"[2.478747496580031, 2.4214312826384052, 2.36411662780023, 2.30694065607715, 2.2500427172996247, 2.193563775190233]","[2, 2, 2, 2, 2, 2]",0.3496629977569012
2020-05-10 17:30:00,"[2.3000299170312095, 2.2427883692774984, 2.1859569473149665, 2.129681181178657, 2.074106876472296, 2.01937940795506]","[2, 2, 2, 2, 1, 1]",0.6315590890572125
2020-05-10 17:45:00,"[2.1525091241323304, 2.097164014737344, 2.0426749048334285, 1.9891855096503588, 1.9368376143859152, 1.8857703471736553]","[2, 1, 1, 1, 1, 1]",0.908748283951635
2020-05-10 18:00:00,"[1.9620517253519294, 1.9097736743746265, 1.8588098095542276, 1.8092944214180817, 1.7613575941335051, 1.7151245094949705]","[1, 1, 1, 1, 1, 1]",0.8403185765517653
2020-05-10 18:15:00,"[1.7619721935321995, 1.7136737474444523, 1.6671204271721907, 1.6224327987915286, 1.5797248634276901, 1.539103414687125]","[1, 1, 1, 1, 1, 1]",0.6518074234865583
2020-05-10 18:30:00,"[1.6196511212852154, 1.5772030181978682, 1.5368707531578691, 1.4987517582501684, 1.4629350149104257, 1.4295005316328093]","[1, 1, 1, 1, 1, 1]",0.5248640924060989
2020-05-10 18:45:00,"[1.4774731114449826, 1.4415319301138751, 1.4080039162014795, 1.376959838639579, 1.3484603360467329, 1.3225555333872072]","[1, 1, 1, 1, 1, 1]",0.3993669179594261
2020-05-10 19:00:00,"[1.341602952184408, 1.3130006028130443, 1.287006704921693, 1.263660575744448, 1.2429904187238763, 1.2250131141574594]","[1, 1, 1, 1, 1, 1]",0.2817288730052282
2020-05-10 19:15:00,"[1.2902317079079433, 1.2697890846885658, 1.252052759714311, 1.2370276443562616, 1.224707041213602, 1.2150726272164925]","[1, 1, 1, 1, 1, 1]",0.2494937479877035
2020-05-10 19:30:00,"[1.209491461755862, 1.1969150770111363, 1.1870370896077516, 1.1798273301191358, 1.1752440605758097, 1.1732341564572881]","[1, 1, 1, 1, 1, 1]",0.18739597798075894
2020-05-10 19:45:00,"[1.1464233124949266, 1.1415354643717894, 1.1392275930826175, 1.1394363838307962, 1.1420877009025927, 1.1470969570900436]","[1, 1, 1, 1, 1, 1]",0.14266822319706643
2020-05-10 20:00:00,"[1.1684814146975036, 1.1714183796175606, 1.1767186144201471, 1.1842854000954952, 1.1940123561430522, 1.2057840003166325]","[1, 1, 1, 1, 1, 1]",0.18391514096751704
2020-05-10 20:15:00,"[1.1903080318035255, 1.2001467084615, 1.2120434620672236, 1.2258760280990608, 1.2415143725821736, 1.258821388844594]","[1, 1, 1, 1, 1, 1]",0.22270158105986124
2020-05-10 20:30:00,"[1.2398715976186683, 1.25565399733058, 1.273098664836875, 1.292059790011686, 1.3123859477629187, 1.333920925511684]","[1, 1, 1, 1, 1, 1]",0.2863178060090183
2020-05-10 20:45:00,"[1.23083913854132, 1.2507631295739874, 1.2719240178036058, 1.2941637908106767, 1.3173212953052222, 1.3412331190535363]","[1, 1, 1, 1, 1, 1]",0.28687299986579173
2020-05-10 21:00:00,"[1.3054857820751953, 1.3286925063485717, 1.3526555932966313, 1.377209755685874, 1.4021892395000717, 1.4274287323472676]","[1, 1, 1, 1, 1, 1]",0.36798210999391295
2020-05-10 21:15:00,"[1.356159517242447, 1.3810139661717642, 1.4061321045679964, 1.4313491847641866, 1.4565026561762204, 1.4814330538330172]","[1, 1, 1, 1, 1, 1]",0.4209511274318352
2020-05-10 21:30:00,"[1.4456602086932953, 1.4708487540490287, 1.4958154088934368, 1.520403936395139, 1.5444628888651928, 1.5678464271164465]","[1, 1, 1, 1, 1, 1]",0.5092239438030746
2020-05-10 21:45:00,"[1.4768338579332725, 1.5009864897974747, 1.5245111139938732, 1.547268799124101, 1.5691275037119663, 1.5899627705271433]","[1, 1, 1, 1, 1, 1]",0.5361801973712491
