,prediction,real_values,metrics
2020-05-10 06:00:00,"[8.502607299602827, 8.508056976228835, 8.512662702816884, 8.516403767731564, 8.519265843458541, 8.521241224966278]","[12, 12, 12, 12, 12, 12]",3.4866330176653073
2020-05-10 06:15:00,"[8.651188240942147, 8.654357761017117, 8.656477463286127, 8.65754731506372, 8.657575123258601, 8.656576584098795]","[12, 12, 12, 12, 12, 12]",3.3443803434038943
2020-05-10 06:30:00,"[8.753928342351754, 8.754054788982542, 8.753002092237367, 8.750795270066709, 8.747467979473585, 8.743062351934583]","[12, 12, 12, 12, 12, 12]",3.249617303044717
2020-05-10 06:45:00,"[8.858382624236864, 8.855259126273316, 8.850904310335295, 8.845369714408251, 8.838715676899296, 8.831010955079734]","[12, 12, 12, 12, 12, 12]",3.1534071768572423
2020-05-10 07:00:00,"[8.973378055897463, 8.967104540922824, 8.959634290452682, 8.951044881691603, 8.941422163899418, 8.930859669984587]","[12, 12, 12, 12, 12, 12]",3.0461277868871752
2020-05-10 07:15:00,"[9.06257792549328, 9.053284685840842, 9.042906967412495, 9.031546264690702, 9.019311224111044, 9.006316875344217]","[12, 12, 12, 12, 12, 12]",2.9640721032083546
2020-05-10 07:30:00,"[9.14731407894733, 9.135290252444717, 9.12237440590711, 9.108688291534703, 9.09435909402986, 9.079518514697988]","[12, 12, 12, 12, 12, 12]",2.8855026291686796
2020-05-10 07:45:00,"[9.246839034012105, 9.233028137483775, 9.218576149064504, 9.203618797481308, 9.188295117693738, 9.17274644140639]","[12, 12, 12, 12, 12, 12]",2.7895980024223843
2020-05-10 08:00:00,"[9.28642650038681, 9.27113671045883, 9.25549248801521, 9.239638080329831, 9.22371868948776, 9.207879416840674]","[12, 12, 12, 12, 12, 12]",2.7527492520422827
2020-05-10 08:15:00,"[9.340236481046542, 9.32459635517732, 9.308913086451625, 9.293331343834579, 9.27799428210211, 9.263042503580184]","[12, 12, 12, 12, 12, 12]",2.698776948159519
2020-05-10 08:30:00,"[9.40456006156913, 9.389580523932404, 9.374866195772654, 9.360554895210633, 9.34678056161184, 9.333672291472237]","[12, 12, 12, 11, 11, 11]",2.184776441668646
2020-05-10 08:45:00,"[9.457241376624308, 9.443785619055044, 9.430876206029335, 9.418636450320015, 9.407183642252042, 9.396628215879765]","[11, 11, 11, 11, 11, 11]",1.5744116654665907
2020-05-10 09:00:00,"[9.504628531579721, 9.49342356463123, 9.483046693308053, 9.473601953427908, 9.465185428427343, 9.457884582220332]","[11, 11, 11, 11, 11, 11]",1.520456206006503
2020-05-10 09:15:00,"[9.55416432192502, 9.54627006178994, 9.539410558047413, 9.533662284987335, 9.529092390191552, 9.525758249686303]","[11, 11, 11, 11, 10, 10]",1.2202389498489494
2020-05-10 09:30:00,"[9.56829169648869, 9.563651419497702, 9.560194763808168, 9.557970501821053, 9.557017290601594, 9.557363448551193]","[11, 10, 10, 10, 10, 10]",0.7095971005432279
2020-05-10 09:45:00,"[9.673785256335332, 9.673625232978372, 9.67472397907276, 9.677098533804228, 9.68075562807862, 9.685691701636308]","[10, 10, 10, 10, 10, 10]",0.32241615696126324
2020-05-10 10:00:00,"[9.721674539460343, 9.725666856295724, 9.73092753639184, 9.737442620582858, 9.745188197359298, 9.754130649521509]","[10, 10, 10, 10, 10, 10]",0.26439897130018103
2020-05-10 10:15:00,"[9.73633623230774, 9.744010241100213, 9.752866503001766, 9.762862339062922, 9.77394615465909, 9.786057890977169]","[10, 10, 10, 9, 9, 9]",0.576622769673184
2020-05-10 10:30:00,"[9.737593314986443, 9.748448098110954, 9.760318752488113, 9.77313773965286, 9.78683020341597, 9.801314589011634]","[9, 9, 9, 9, 9, 9]",0.768250378382563
2020-05-10 10:45:00,"[9.806257677017268, 9.820425025576421, 9.835418849042348, 9.851150480504122, 9.86752574812437, 9.884445726075523]","[9, 9, 9, 9, 9, 9]",0.84462769156702
2020-05-10 11:00:00,"[9.821022363893492, 9.837321211911306, 9.854204859866634, 9.871570347552327, 9.889311331125862, 9.907318908455155]","[9, 9, 9, 10, 10, 10]",0.5975207692798293
2020-05-10 11:15:00,"[9.878778671778756, 9.89671511689661, 9.914948817580871, 9.933368427371775, 9.951861568427004, 9.97031568081913]","[10, 10, 10, 10, 10, 10]",0.08188845563198108
2020-05-10 11:30:00,"[9.902513144967237, 9.920805386170699, 9.939055263328008, 9.957151150216227, 9.974982924353561, 9.992442776856633]","[10, 10, 10, 11, 11, 11]",0.7271926637719263
2020-05-10 11:45:00,"[10.016424066069515, 10.034325027652086, 10.051836434063652, 10.06885424025051, 10.085278350243875, 10.101013328132591]","[11, 11, 11, 11, 11, 11]",0.9408231392795322
2020-05-10 12:00:00,"[10.056788651126777, 10.073323163275443, 10.089131787144934, 10.104124037154081, 10.118215585752647, 10.131328829021687]","[11, 11, 11, 11, 10, 10]",0.7540860291778175
2020-05-10 12:15:00,"[10.239540073803425, 10.254347328152528, 10.26813326735032, 10.280827397309093, 10.292367141151486, 10.302698215696422]","[11, 10, 10, 10, 10, 10]",0.40225532808559067
2020-05-10 12:30:00,"[10.474051780275156, 10.487003333052117, 10.498738627424975, 10.509210618310465, 10.518381172677996, 10.526221236900048]","[10, 10, 10, 10, 11, 10]",0.49645384043021046
2020-05-10 12:45:00,"[10.352351624307916, 10.360360328116228, 10.367056903470447, 10.372422955392228, 10.376449165223537, 10.37913522593916]","[10, 11, 10, 10, 10, 9]",0.6892566225666797
