,prediction_A,prediction_B,real_values,metrics_A,metrics_B
2020-05-10 06:00:00,[3.3480382 3.537005  3.422895  3.5862036 3.6970634 3.8538904],[3.3719268 3.4511447 3.5167694 3.4963999 3.4533277 3.489872 ],[3 3 3 3 3 3],0.5981925511849872,0.46561877303013677
2020-05-10 06:15:00,[3.3480382 3.537005  3.422895  3.5862036 3.6970634 3.8538904],[3.3719268 3.4511447 3.5167694 3.4963999 3.4533277 3.489872 ],[3 3 3 3 3 3],0.5981925511849872,0.46561877303013677
2020-05-10 06:30:00,[3.3480382 3.537005  3.422895  3.5862036 3.6970634 3.8538904],[3.3719268 3.4511447 3.5167694 3.4963999 3.4533277 3.489872 ],[3 3 3 3 3 3],0.5981925511849872,0.46561877303013677
2020-05-10 06:45:00,[3.3480382 3.537005  3.422895  3.5862036 3.6970634 3.8538904],[3.3719268 3.4511447 3.5167694 3.4963999 3.4533277 3.489872 ],[3 3 3 3 3 3],0.5981925511849872,0.46561877303013677
2020-05-10 07:00:00,[3.3480382 3.537005  3.422895  3.5862036 3.6970634 3.8538904],[3.3719268 3.4511447 3.5167694 3.4963999 3.4533277 3.489872 ],[3 3 3 3 3 3],0.5981925511849872,0.46561877303013677
2020-05-10 07:15:00,[3.3480382 3.537005  3.422895  3.5862036 3.6970634 3.8538904],[3.3719268 3.4511447 3.5167694 3.4963999 3.4533277 3.489872 ],[3 3 3 3 3 3],0.5981925511849872,0.46561877303013677
2020-05-10 07:30:00,[3.3480382 3.537005  3.422895  3.5862036 3.6970634 3.8538904],[3.3719268 3.4511447 3.5167694 3.4963999 3.4533277 3.489872 ],[3 4 4 4 4 4],0.39851626581203825,0.4976239902191988
2020-05-10 07:45:00,[4.3396406 4.477287  4.348808  4.428136  4.5952306 4.632963 ],[4.1219172 4.162636  4.2156157 4.1814265 4.133115  4.1754274],[4 4 4 4 4 4],0.4835747957015232,0.167935649720351
2020-05-10 08:00:00,[4.3608527 4.4748325 4.3605084 4.4317465 4.602012  4.6209536],[4.1521072 4.200112  4.2480307 4.222954  4.1956134 4.2684155],[4 4 4 4 4 5],0.44312278660787,0.3530555962450723
2020-05-10 08:15:00,[5.221685  5.341066  5.2385974 5.2494335 5.405013  5.4295483],[4.959494  4.9811687 5.0293527 5.006864  4.9710317 5.015059 ],[5 5 5 5 5 5],0.32484951675816953,0.025722801177552174
2020-05-10 08:30:00,[5.243919  5.3186164 5.2355566 5.251767  5.420967  5.397936 ],[5.0064173 5.0286536 5.065498  5.0342965 5.0411143 5.103023 ],[5 5 5 5 5 5],0.32027402391984244,0.05572637215916879
2020-05-10 08:45:00,[5.2401185 5.340389  5.2626686 5.2698703 5.4636884 5.4396996],[5.0555844 5.1005034 5.1494427 5.1421313 5.1464276 5.211543 ],[5 5 5 5 5 5],0.3472964321738595,0.14254620631025913
