,prediction_A,prediction_B,real_values,metrics_A,metrics_B
2020-05-10 06:00:00,[9.955084 9.868051 9.836844 9.788938 9.786838 9.942905],[9.740034 9.796326 9.668034 9.640773 9.641557 9.502079],[10 10 10 10 10 10],0.1523664471915407,0.34754333917633196
2020-05-10 06:15:00,[9.955084 9.868051 9.836844 9.788938 9.786838 9.942905],[9.740034 9.796326 9.668034 9.640773 9.641557 9.502079],[10 10 10 10 10 10],0.1523664471915407,0.34754333917633196
2020-05-10 06:30:00,[9.955084 9.868051 9.836844 9.788938 9.786838 9.942905],[9.740034 9.796326 9.668034 9.640773 9.641557 9.502079],[10 10 10 10 10 10],0.1523664471915407,0.34754333917633196
2020-05-10 06:45:00,[9.955084 9.868051 9.836844 9.788938 9.786838 9.942905],[9.740034 9.796326 9.668034 9.640773 9.641557 9.502079],[10  9  9  9  9  9],0.7731369423179685,0.6085849627347875
2020-05-10 07:00:00,[8.949245  8.902315  8.862202  8.817362  8.840624  8.9718075],[8.741093 8.805359 8.682996 8.681264 8.608224 8.507696],[9 9 9 9 9 9],0.12292206484591207,0.34226064474932383
2020-05-10 07:15:00,[8.950058 8.901593 8.887725 8.823491 8.844201 8.976986],[8.668177  8.724385  8.605674  8.6024065 8.49456   8.406283 ],[9 9 9 9 9 9],0.11600441544471077,0.4296534930501665
2020-05-10 07:30:00,[8.950841  8.9022665 8.889931  8.824337  8.844521  8.978681 ],[8.671381 8.726456 8.604151 8.628265 8.502576 8.410476],[9 9 9 9 9 9],0.11515898539254636,0.4228218306129666
2020-05-10 07:45:00,[8.950841  8.9022665 8.889931  8.824337  8.844521  8.978681 ],[8.671381 8.726456 8.604151 8.628265 8.502576 8.410476],[9 9 9 9 9 9],0.11515898539254636,0.4228218306129666
2020-05-10 08:00:00,[10.91928  10.872465 10.845486 10.762712 10.751141 10.899507],[10.572569 10.590478 10.4484   10.448096 10.355884 10.193024],[11 11 11 11 11 11],0.17077825717427178,0.5809995937476509
2020-05-10 08:15:00,[10.924057 10.768586 10.779702 10.709897 10.672026 10.821847],[10.855155 10.858795 10.769087 10.691469 10.778947 10.613246],[11 11 11 11 11 11],0.23498801974540476,0.25425518582574574
2020-05-10 08:30:00,[9.013209 8.919724 8.860256 8.828542 8.845321 9.016467],[9.0332155 9.10078   9.01109   8.930714  9.038143  8.933167 ],[9 9 9 9 9 9],0.11528353414544233,0.060697153433912555
2020-05-10 08:45:00,[8.94533  8.898508 8.870521 8.818879 8.842006 8.969139],[8.713478  8.770208  8.6490965 8.631592  8.557053  8.450988 ],[9 9 9 9 9 9],0.12163725385437266,0.3854377703813856
2020-05-10 09:00:00,[8.950841  8.9022665 8.889931  8.824337  8.844521  8.978681 ],[8.671381 8.726456 8.604151 8.628265 8.502576 8.410476],[9 9 9 9 9 9],0.11515898539254636,0.4228218306129666
2020-05-10 09:15:00,[8.931708 8.882605 8.93799  8.866318 8.926387 8.995786],[8.746721 8.808141 8.684008 8.728734 8.621947 8.486137],[9 9 9 9 9 9],0.08717630702783238,0.3369903864124898
2020-05-10 09:30:00,[8.950266  8.9025545 8.882913  8.822542  8.843306  8.97704  ],[8.685859 8.741984 8.61925  8.642234 8.5244   8.431113],[9 9 9 9 9 9],0.11708267551876786,0.4058019825749717
2020-05-10 09:45:00,[8.95064   8.902114  8.889415  8.8241205 8.844451  8.978267 ],[8.667257 8.721277 8.602561 8.614663 8.495265 8.405537],[9 9 9 9 9 9],0.1153607711468937,0.42875603627330494
2020-05-10 10:00:00,[8.950841  8.9022665 8.889931  8.824337  8.844521  8.978681 ],[8.671381 8.726456 8.604151 8.628265 8.502576 8.410476],[9 9 9 9 9 9],0.11515898539254636,0.4228218306129666
