,prediction_A,prediction_B,real_values,metrics_A,metrics_B
2020-05-19 06:00:00,[14.996619 15.009507 15.034979 15.001128 14.913889 14.93578 ],[15.020767  15.0051155 15.020865  14.983379  15.002725  14.975809 ],[15 15 15 15 15 15],0.046306928251460294,0.01713515462318117
2020-05-19 06:15:00,[14.996619 15.009507 15.034979 15.001128 14.913889 14.93578 ],[15.020767  15.0051155 15.020865  14.983379  15.002725  14.975809 ],[15 15 15 15 15 15],0.046306928251460294,0.01713515462318117
2020-05-19 06:30:00,[14.996619 15.009507 15.034979 15.001128 14.913889 14.93578 ],[15.020767  15.0051155 15.020865  14.983379  15.002725  14.975809 ],[15 15 15 15 15 15],0.046306928251460294,0.01713515462318117
2020-05-19 06:45:00,[14.996619 15.009507 15.034979 15.001128 14.913889 14.93578 ],[15.020767  15.0051155 15.020865  14.983379  15.002725  14.975809 ],[15 15 15 15 15 15],0.046306928251460294,0.01713515462318117
2020-05-19 07:00:00,[15.96311   15.912541  15.93776   15.866759  15.8447275 15.821266 ],[15.915302 15.911144 15.906671 15.878549 15.914296 15.849792],[16 16 16 16 16 16],0.12020265198299393,0.10680012671375383
2020-05-19 07:15:00,[15.990234 15.982457 15.962726 15.94493  15.884792 15.883891],[15.96746   15.962916  15.981065  15.924126  15.947316  15.9168625],[16 16 16 16 16 16],0.07254800263870397,0.05513159317881531
2020-05-19 07:30:00,[13.896772 14.061637 13.992697 14.013057 13.889602 13.965231],[14.084154 14.075885 14.119605 14.083607 14.082862 14.086813],[14 14 14 14 14 14],0.06840508948784123,0.08994300515286664
2020-05-19 07:45:00,[11.78797  12.004047 11.978698 11.91677  11.852788 11.929403],[12.093331 12.106195 12.129154 12.182401 12.181029 12.130576],[12 12 12 12 12 12],0.11475304779693975,0.1412803234138274
2020-05-19 08:00:00,[12.9959135 13.0152445 13.166321  13.0309105 12.993142  12.980057 ],[13.0794735 13.04792   13.017256  13.045449  13.090167  13.03788  ],[13 13 13 13 13 13],0.06989506913351415,0.058510352223765404
2020-05-19 08:15:00,[14.022774 13.921834 14.111444 14.035483 13.898364 13.954927],[13.910097 13.868752 13.877294 13.823036 13.850004 13.840584],[14 14 14 15 15 15],0.7365594750948891,0.8258677885472254
2020-05-19 08:30:00,[16.723341 16.612137 16.634314 16.659554 16.42275  16.57979 ],[16.279678 16.232197 16.277637 16.15342  16.167248 16.23764 ],[17 17 17 17 17 17],0.405463060040799,0.7769126560326948
2020-05-19 08:45:00,[16.869122 16.861275 16.740688 16.780025 16.694395 16.761915],[16.666517 16.711391 16.74902  16.694391 16.708328 16.697119],[17 18 18 18 18 17],1.0123665977161131,1.0646941510109507
2020-05-19 09:00:00,[17.52481  17.583933 17.418959 17.404066 17.35892  17.400812],[17.46635  17.474329 17.48851  17.444418 17.453184 17.445679],[18 18 18 18 18 18],0.5570268762035433,0.5381580809710961
2020-05-19 09:15:00,[17.974083 17.9288   17.83304  17.781942 17.8382   17.765259],[17.9968   18.054825 18.032152 18.006907 18.03371  17.979572],[18 18 18 18 18 18],0.1645440896211177,0.030689724396169817
2020-05-19 09:30:00,[19.016884 18.883856 18.837526 18.706743 18.859892 18.697742],[19.00619  19.066439 18.999247 19.014101 19.0497   18.944567],[19 19 19 19 19 19],0.19881384072267025,0.04122040030054354
2020-05-19 09:45:00,[18.42352  18.303577 18.312029 18.19712  18.361956 18.159771],[18.537722 18.640242 18.569    18.610826 18.628891 18.515203],[18 18 18 19 19 19],0.5953416932666434,0.5077763212207532
2020-05-19 10:00:00,[18.992914 18.944332 18.824488 18.749119 18.786291 18.7695  ],[18.955093 19.030298 19.008888 18.977146 18.995932 18.97515 ],[19 19 19 19 19 19],0.180599217499494,0.026362861197704427
2020-05-19 10:15:00,[18.422682 18.291136 18.318918 18.189613 18.355942 18.15397 ],[18.586994 18.691051 18.614502 18.654669 18.679512 18.563702],[18 17 18 18 18 18],0.5963437372151973,0.8934872963181549
2020-05-19 10:30:00,[17.85857  17.79936  17.779692 17.617895 17.785301 17.628014],[18.055086 18.132847 18.056877 18.102161 18.141735 18.005844],[18 18 16 16 17 17],1.068974974199346,1.3531315698388158
2020-05-19 10:45:00,[17.906914 17.843348 17.791403 17.662437 17.779007 17.6601  ],[17.974712 18.013638 17.973976 17.951674 18.00548  17.907171],[18 18 18 18 18 18],0.24325418941844817,0.04561677942699213
2020-05-19 11:00:00,[17.969639 17.930809 17.84249  17.780745 17.840033 17.764286],[18.02001  18.072573 18.057936 18.00701  18.044052 17.990215],[18 18 18 18 18 18],0.16316782213291736,0.043029462810869126
2020-05-19 11:15:00,[17.964586 17.92763  17.846493 17.771187 17.839573 17.759638],[18.032452 18.08864  18.060421 18.047094 18.071247 18.007954],[18 18 18 18 18 18],0.16629411110484776,0.057616807192908445
2020-05-19 11:30:00,[16.791836 16.876562 16.737782 16.699581 16.725521 16.713964],[16.951761 17.01588  17.014277 17.009766 17.026447 16.971193],[17 17 17 17 17 17],0.24991140753447738,0.027103631528632658
2020-05-19 11:45:00,[15.916665 16.01612  15.912007 15.907628 15.853836 15.884399],[16.110779 16.133633 16.155807 16.11889  16.129282 16.115393],[16 16 15 16 14 16],0.8463220597686334,0.993924285240809
2020-05-19 12:00:00,[15.947642 15.972059 15.933649 15.870528 15.869948 15.83811 ],[16.067228 16.070463 16.07004  16.029999 16.073092 16.015959],[16 16 16 16 16 16],0.10630867293405007,0.05900176680094961
2020-05-19 12:15:00,[15.018717  15.077167  15.0653715 15.064239  14.970307  14.986312 ],[15.139471 15.124731 15.150138 15.097417 15.106931 15.097844],[15 15 15 15 15 15],0.05127383943374466,0.12113979862324048
2020-05-19 12:30:00,[14.984572 15.025766 15.023232 14.989246 14.913882 14.937293],[15.065924 15.060752 15.076209 15.052336 15.067123 15.040083],[15 15 15 15 15 15],0.04637839191345564,0.06150308101613382
2020-05-19 12:45:00,[14.995645 15.011265 15.034782 14.999766 14.915269 14.935187],[15.02365  15.007427 15.022654 14.984805 15.005905 14.977997],[15 15 15 15 15 15],0.04607200288940367,0.01768979911910039
2020-05-19 13:00:00,[14.198376 14.394047 14.254114 14.280818 14.091022 14.270155],[14.197944 14.183712 14.240445 14.182677 14.188473 14.219348],[15 15 12 14 14 15],1.0575623603092132,1.0807038916695888
2020-05-19 13:15:00,[13.993896 14.04284  14.097001 14.039958 13.946149 13.980334],[14.057355 14.03567  14.046131 14.031985 14.052042 14.028003],[14 14 14 14 14 14],0.05190546755652777,0.043215777102406816
2020-05-19 13:30:00,[15.056014 14.970583 15.107017 15.016943 14.954226 14.936823],[15.02834  14.999054 14.987045 14.951675 14.989213 14.94117 ],[15 14 14 14 14 14],0.9122327064449423,0.8891193482608146
2020-05-19 13:45:00,[14.002505 14.023462 14.09823  14.061874 13.933315 13.979968],[13.990702  13.955292  13.971835  13.934499  13.952013  13.9369545],[14 14 14 14 14 14],0.05609891621241084,0.04733997787492808
2020-05-19 14:00:00,[15.002455  14.943481  15.049292  14.956886  14.9028425 14.896446 ],[14.99169  14.973149 14.963746 14.949681 14.977815 14.91908 ],[15 15 15 15 15 15],0.06788689968422995,0.04411464767113444
2020-05-19 14:15:00,[14.029414  14.052541  14.125226  14.1189375 13.963577  14.017567 ],[14.051887 14.016348 14.041976 13.99222  13.99805  14.001583],[14 14 14 14 14 14],0.07647288643352411,0.028249749515860772
2020-05-19 14:30:00,[14.398941 14.362862 14.486708 14.427658 14.33586  14.329862],[14.414858  14.390873  14.392658  14.379017  14.392484  14.3727255],[14 14 14 14 14 14],0.39416771745021273,0.39065985797866426
