,prediction_A,prediction_B,real_values,metrics_A,metrics_B
2020-05-11 06:00:00,"[5.208427  4.8913875 5.0579734 5.202836  4.9673176 5.0694447 5.3672843
 5.462775  5.345547  5.450001  5.6438665 5.773136  5.6597543 5.573981
 5.634266  6.0282717 6.193658  5.7010417 5.8601394 5.972313  5.8822417
 5.7067556 5.9633026 6.118567  6.032332  5.8083353 6.050945  5.9864373
 6.0572133 6.1309886]","[4.041484  4.2103868 4.2044206 4.243708  4.3935947 4.3690534 4.316217
 4.5041523 4.5744166 4.4442396 4.714552  4.61518   4.633761  4.7625217
 4.8919134 4.846677  4.805672  5.0723095 5.0529146 5.0581384 4.9649944
 5.028444  5.176367  5.215241  5.106943  5.066102  5.1807036 5.2237716
 5.248694  5.283677 ]",[3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],3.536824039615725,2.6715625068127116
2020-05-11 06:15:00,"[5.06153   4.606527  4.745555  4.962264  4.677379  4.849662  5.23133
 5.1686354 5.096315  5.2869806 5.3975015 5.6637306 5.425653  5.3833556
 5.287933  5.9799337 5.9736524 5.5234036 5.6075115 5.849766  5.717976
 5.611114  5.701565  5.9680543 5.850059  5.567815  5.8777823 5.92567
 5.7785    6.0177336]","[3.504417  3.6993828 3.6938834 3.7438178 3.9032464 3.8638034 3.8123846
 4.021369  4.1207657 3.956594  4.2523384 4.154557  4.1691246 4.300309
 4.433049  4.392126  4.352184  4.63614   4.6296787 4.640304  4.527006
 4.6013565 4.7695465 4.82892   4.7013392 4.6289654 4.76004   4.8119407
 4.8255234 4.893053 ]",[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],3.4842974103622972,2.3557655260922483
2020-05-11 06:30:00,"[5.0586004 4.598806  4.7384906 4.9569535 4.6708727 4.8419533 5.2282457
 5.160589  5.0901103 5.2833567 5.3893046 5.659128  5.4181075 5.376726
 5.281527  5.97838   5.967878  5.520447  5.601753  5.846149  5.7128205
 5.611212  5.69706   5.963726  5.845051  5.564191  5.870994  5.922204
 5.772444  6.014307 ]","[3.4975896 3.6920881 3.6892362 3.7364626 3.8982663 3.8604631 3.8072162
 4.016964  4.1170077 3.9515328 4.2481513 4.1492386 4.164522  4.2973433
 4.42961   4.388465  4.3499546 4.6331506 4.6266274 4.636842  4.523177
 4.6000204 4.7656946 4.823273  4.697248  4.6234217 4.7545843 4.8095264
 4.821673  4.8890114]",[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],3.4793240251132076,2.351660561943089
2020-05-11 06:45:00,"[5.0585027 4.5987177 4.7384887 4.9568977 4.6707606 4.8417563 5.2281237
 5.1604896 5.090025  5.283291  5.389225  5.6589813 5.4180055 5.376583
 5.2815347 5.978281  5.96788   5.5203867 5.601701  5.8460317 5.712716
 5.611175  5.697085  5.963636  5.8450065 5.5641685 5.870857  5.922059
 5.772423  6.014215 ]","[3.4972186 3.6917043 3.688983  3.736074  3.8980446 3.8603148 3.8069086
 4.0167437 4.1168056 3.9512525 4.247904  4.1488724 4.1642427 4.2971277
 4.4294014 4.3882046 4.349852  4.6329613 4.6264024 4.6366916 4.5229993
 4.5999618 4.765511  4.8229394 4.6970387 4.6230516 4.7542877 4.809387
 4.8213778 4.8888116]",[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],3.4792456198799036,2.351426929555848
2020-05-11 07:00:00,"[5.0584955 4.598716  4.7384906 4.9568934 4.6707563 4.841746  5.228113
 5.160487  5.0900173 5.283286  5.3892207 5.658974  5.418003  5.376574
 5.281538  5.9782734 5.9678802 5.5203834 5.601698  5.8460236 5.712712
 5.6111703 5.6970854 5.9636292 5.8450046 5.564168  5.870849  5.9220486
 5.772422  6.0142055]","[3.4971895 3.6916718 3.68896   3.7360435 3.8980212 3.860301  3.8068805
 4.016722  4.116788  3.951229  4.2478786 4.1488395 4.1642175 4.2971053
 4.4293804 4.388179  4.3498406 4.632942  4.62638   4.636676  4.5229797
 4.599955  4.7654943 4.8229084 4.697022  4.623017  4.7542615 4.809371
 4.82135   4.8887916]",[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],3.4792409652572127,2.3514049415984632
2020-05-11 07:15:00,"[5.058494  4.598716  4.738491  4.9568925 4.670754  4.841744  5.228112
 5.1604867 5.0900154 5.2832847 5.3892193 5.658974  5.418002  5.376572
 5.2815385 5.9782715 5.96788   5.520382  5.6016974 5.8460217 5.712711
 5.61117   5.697085  5.9636273 5.845005  5.5641665 5.8708477 5.9220476
 5.772421  6.014204 ]","[3.4971857 3.691669  3.6889586 3.7360396 3.8980193 3.8602986 3.8068786
 4.01672   4.1167846 3.9512267 4.247877  4.148836  4.1642156 4.297102
 4.429378  4.3881764 4.3498373 4.6329384 4.6263776 4.6366735 4.5229774
 4.5999537 4.7654924 4.822905  4.6970196 4.623014  4.7542586 4.809369
 4.8213463 4.8887887]",[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],3.479239950915179,2.3514023565514726
2020-05-11 07:30:00,"[5.0584936 4.598716  4.73849   4.956892  4.670754  4.841743  5.2281117
 5.160487  5.0900145 5.283284  5.389219  5.6589737 5.418002  5.376572
 5.2815385 5.9782715 5.96788   5.5203815 5.601696  5.846021  5.71271
 5.6111693 5.697085  5.9636273 5.845005  5.5641665 5.8708467 5.922046
 5.772421  6.0142035]","[3.4971843 3.691669  3.6889586 3.7360396 3.898018  3.8602982 3.8068776
 4.0167193 4.1167855 3.9512262 4.247878  4.148835  4.164215  4.2971025
 4.429379  4.3881745 4.3498383 4.632939  4.626378  4.636673  4.522978
 4.599954  4.765493  4.822905  4.697019  4.623014  4.754258  4.809369
 4.821346  4.888788 ]",[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1],3.9412148374241083,2.8461033415506476
2020-05-11 07:45:00,"[5.0584936 4.5987153 4.73849   4.9568915 4.670754  4.8417425 5.2281117
 5.160487  5.0900145 5.283284  5.389219  5.6589737 5.418002  5.376572
 5.2815385 5.978271  5.96788   5.520381  5.6016955 5.846021  5.71271
 5.611169  5.697085  5.9636273 5.8450046 5.5641665 5.8708467 5.9220457
 5.772421  6.0142035]","[3.4971852 3.691669  3.6889582 3.7360392 3.8980184 3.860299  3.8068767
 4.01672   4.1167846 3.9512258 4.2478776 4.148835  4.1642156 4.297104
 4.42938   4.3881745 4.3498387 4.632939  4.626378  4.6366735 4.522978
 4.5999537 4.765493  4.8229046 4.6970196 4.623013  4.7542586 4.809371
 4.821347  4.888789 ]",[2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],4.39939179027206,3.2766742425585975
2020-05-11 08:00:00,"[4.974054  4.4014544 4.488722  4.78442   4.4712367 4.7041965 5.1556964
 4.936169  4.90985   5.180722  5.1991267 5.6131997 5.2457876 5.2472878
 5.007691  5.973631  5.7919517 5.4099274 5.407627  5.7760515 5.608798
 5.567388  5.4828515 5.8752694 5.7087913 5.383648  5.750275  5.9054723
 5.555943  5.944152 ]","[3.0572648 3.2730045 3.2711873 3.3295307 3.4979272 3.4414287 3.3913069
 3.6226077 3.7454853 3.5485754 3.8670444 3.767682  3.7823138 3.9132113
 4.051657  4.010102  3.9740305 4.2663608 4.2761555 4.291266  4.1619797
 4.240129  4.433658  4.508822  4.3617787 4.2586136 4.4076347 4.4673862
 4.4655547 4.5692453]",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],4.338846563079279,2.973646952976609
2020-05-11 08:15:00,"[4.973463  4.396234  4.4806604 4.780126  4.4669495 4.7010927 5.15551
 4.930067  4.9054227 5.1787305 5.192035  5.6128354 5.2408886 5.244226
 5.0005054 5.9748173 5.7851167 5.4087276 5.402534  5.775148  5.606396
 5.568829  5.476667  5.8730764 5.7051787 5.3798866 5.7460604 5.905864
 5.5496297 5.9426312]","[3.053247  3.268897  3.2682438 3.325317  3.4950218 3.4392214 3.388164
 3.6199403 3.7430549 3.545497  3.8644214 3.764557  3.7794266 3.9111896
 4.049432  4.0077453 3.9724283 4.264328  4.2740545 4.289276  4.1597586
 4.238996  4.4314613 4.505611  4.3593855 4.2553406 4.404565  4.4658737
 4.4631243 4.5669885]",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],4.335582052913363,2.9711250467383095
2020-05-11 08:30:00,"[4.973442  4.39604   4.4803424 4.7799654 4.466787  4.7009864 5.1555104
 4.9298453 4.9052653 5.178655  5.1917706 5.612829  5.24072   5.244122
 5.000238  5.9748564 5.7848454 5.4086785 5.4023376 5.7751203 5.6063066
 5.568878  5.4764233 5.872991  5.7050505 5.3797307 5.745905  5.905889
 5.549385  5.9425697]","[3.0529294 3.2687254 3.2680616 3.3251257 3.4948902 3.4391198 3.387906
 3.6198416 3.7429752 3.5452728 3.8644457 3.76435   3.7792563 3.9110694
 4.049457  4.007613  3.9724116 4.2642274 4.274019  4.289206  4.159687
 4.238996  4.431459  4.5054946 4.35939   4.2551684 4.4044466 4.4659314
 4.463092  4.566949 ]",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2],4.201582397790318,2.834374566076743
