,prediction_A,prediction_B,real_values,metrics_A,metrics_B
2020-05-19 06:00:00,[20.110014 20.25372  20.049946 20.05069  20.139399 19.855173],[20.177666 20.225395 20.134771 20.182388 20.23969  20.15005 ],[20 20 20 20 20 20],0.1425642498702617,0.18875175393988303
2020-05-19 06:15:00,[20.98664  21.182186 20.903553 20.944542 21.001074 20.721525],[20.994877 21.018572 20.94148  20.966282 21.025204 20.991837],[21 21 21 21 21 21],0.14335110780328392,0.03064434629671665
2020-05-19 06:30:00,[21.068611 21.194483 20.961868 21.004494 21.087397 20.803297],[21.202486 21.243488 21.161669 21.213709 21.251837 21.171745],[21 21 21 21 21 21],0.1227025494969076,0.21016407950358043
2020-05-19 06:45:00,[21.072021 21.194103 20.968637 21.008188 21.096565 20.807018],[21.102587 21.140469 21.045115 21.10743  21.159443 21.03704 ],[21 21 21 21 21 21],0.12280106498429331,0.10849419227207173
2020-05-19 07:00:00,[21.072437 21.19363  20.969553 21.008717 21.096659 20.807035],[21.17004  21.21581  21.124176 21.172443 21.236942 21.133455],[21 21 21 21 21 21],0.12269273654004034,0.1800908590879069
2020-05-19 07:15:00,[21.072437 21.19363  20.969553 21.008717 21.096659 20.807035],[21.17004  21.21581  21.124176 21.172443 21.236942 21.133455],[21 21 21 21 22 21],0.3866530814283058,0.34658133308133
2020-05-19 07:30:00,[21.618376 21.699837 21.487274 21.538416 21.624964 21.312986],[21.686607 21.725117 21.632254 21.676813 21.743427 21.65249 ],[21 20 20 20 20 20],1.4268252591310344,1.56491083501793
2020-05-19 07:45:00,[20.169672 20.299303 20.115095 20.11328  20.20462  19.912666],[20.15804  20.198013 20.100088 20.138329 20.210688 20.101362],[20 20 20 20 20 20],0.1797900046202034,0.1570571159604945
2020-05-19 08:00:00,[20.111341 20.253584 20.052277 20.05241  20.14018  19.856066],[20.275434 20.34133  20.244202 20.316706 20.382128 20.292898],[20 20 20 19 19 19],0.7325596654773805,0.9632913412740036
2020-05-19 08:15:00,[15.791416 16.111252 15.871905 15.755117 15.835341 15.693208],[16.11362  16.203241 16.119696 16.181795 16.219044 16.034225],[16 16 16 16 16 16],0.20554554932341493,0.15850592978813818
2020-05-19 08:30:00,[16.489847 16.82618  16.600153 16.430601 16.540407 16.263828],[16.636131 16.735432 16.621912 16.698666 16.77563  16.747967],[17 17 17 17 17 17],0.5046015850760757,0.3027683397398513
2020-05-19 08:45:00,[15.956119 16.198763 16.043203 15.841035 15.922463 15.687089],[16.09276  16.151167 16.092573 16.084015 16.085371 16.104733],[16 17 17 17 17 17],0.9821224379789291,0.8195145171316718
2020-05-19 09:00:00,[17.10822  17.26905  17.188261 16.999556 17.105349 16.812017],[17.04043  17.09691  17.00384  17.045284 17.062902 17.015936],[17 17 17 17 18 18],0.6233305347731155,0.5567203984412777
2020-05-19 09:15:00,[18.279423 18.361809 18.33636  18.1776   18.291782 17.950846],[18.076305 18.110899 18.018545 18.040955 18.069511 18.02001 ],[18 18 18 18 18 18],0.2711753774033938,0.06503144353284265
2020-05-19 09:30:00,[17.265423 17.362663 17.325954 17.16618  17.283485 16.985868],[17.282465 17.34259  17.250055 17.29057  17.31279  17.202194],[17 17 17 17 17 17],0.26343866267582094,0.28367611058434833
2020-05-19 09:45:00,[15.7932415 15.876087  15.901886  15.671873  15.828887  15.513827 ],[15.892723  15.991014  15.8776045 15.938001  15.997749  15.836561 ],[15 15 15 15 15 15],0.7759558385067267,0.9241604828714736
2020-05-19 10:00:00,[15.222249 15.426949 15.369078 15.103036 15.258773 14.930926],[15.231703 15.313506 15.213547 15.238064 15.293612 15.266464],[15 15 15 15 15 15],0.27393703431514227,0.26187140339512116
2020-05-19 10:15:00,[15.106296 15.268289 15.236733 14.945156 15.088545 14.775503],[15.1651945 15.240387  15.165909  15.171155  15.179527  15.204239 ],[15 15 15 15 15 15],0.18283285909518832,0.18966569219376797
2020-05-19 10:30:00,[15.164647  15.309102  15.297094  15.0026865 15.1455145 14.824613 ],[15.031742  15.08661   14.999868  15.011991  15.0092745 15.004417 ],[15 15 15 15 15 15],0.2093084718081495,0.038205901102756436
2020-05-19 10:45:00,[15.166145 15.30808  15.298298 15.002766 15.14518  14.824495],[15.039019 15.094315 15.008181 15.02193  15.016626 15.014421],[15 15 15 15 15 15],0.20951758536691312,0.043684366170896945
2020-05-19 11:00:00,[15.487652 15.736461 15.607827 15.353535 15.463778 15.171641],[15.335555 15.377542 15.303773 15.307774 15.290087 15.335876],[16 16 16 16 16 16],0.5593721334376963,0.6755106743098965
2020-05-19 11:15:00,[16.130043 16.252869 16.240116 15.977396 16.091112 15.789626],[16.034348 16.082554 16.004272 16.021563 16.00527  16.009018],[16 17 18 18 18 18],1.6478693397418294,1.6674825095515
2020-05-19 11:30:00,[17.769663 17.93049  17.823858 17.670118 17.734034 17.477983],[17.762503 17.805092 17.732187 17.765007 17.749868 17.727152],[18 18 17 17 16 16],1.0309377129677018,1.1000622014102133
2020-05-19 11:45:00,[15.952422 16.076088 16.064627 15.841597 15.96712  15.663256],[15.684766 15.708734 15.614321 15.615271 15.643043 15.546397],[15 15 15 15 15 15],0.9382623649495723,0.6376008480517765
2020-05-19 12:00:00,[15.218279 15.420694 15.362654 15.091323 15.246972 14.922151],[15.295764 15.391455 15.286053 15.347066 15.386424 15.361913],[15 15 15 14 14 14],0.811627371111923,0.9928161819096291
2020-05-19 12:15:00,[14.548378 14.838297 14.682966 14.418658 14.54688  14.244195],[14.465911 14.518228 14.443814 14.45118  14.444613 14.50474 ],[15 15 15 15 15 15],0.49077118452974167,0.5294081893239639
2020-05-19 12:30:00,[16.341526 16.389688 16.480753 16.168785 16.3249   15.968273],[16.170712 16.226412 16.138382 16.16882  16.157515 16.19154 ],[16 15 15 15 16 16],0.9758012440437402,0.8422963681941859
2020-05-19 12:45:00,[16.076109 16.148207 16.194693 15.913374 16.047941 15.72335 ],[15.885452 15.930604 15.841764 15.851259 15.844898 15.794557],[16 18 18 18 19 19],2.2545939453582133,2.3734687393205673
2020-05-19 13:00:00,[17.928549 18.101524 17.96731  17.836582 17.88646  17.651974],[18.05433  18.097044 18.03894  18.065586 18.04383  18.053572],[18 18 19 18 18 17],0.5076954141116027,0.5848419846844766
2020-05-19 13:15:00,[17.151697 17.390871 17.215443 17.08207  17.152847 16.911514],[16.961683 16.972235 16.899353 16.87744  16.893332 16.856354],[17 17 17 17 17 17],0.20822069423080364,0.09950073436525554
2020-05-19 13:30:00,[17.172882 17.35686  17.250212 17.081005 17.194942 16.897682],[17.19416  17.266218 17.16703  17.222647 17.26372  17.211702],[17 17 17 17 17 16],0.42234273564508895,0.53600554746573
2020-05-19 13:45:00,[16.187735 16.392422 16.293217 16.087456 16.198252 15.913074],[16.12652  16.178951 16.091303 16.118298 16.137672 16.096111],[16 16 16 16 16 16],0.23442254931996945,0.12816169071537006
2020-05-19 14:00:00,[17.27605  17.447573 17.37225  17.169489 17.289984 16.957905],[17.132872 17.181257 17.090137 17.123468 17.14893  17.167692],[17 17 17 17 17 16],0.4908315584182221,0.4932145126177857
2020-05-19 14:15:00,[11.781     12.245745  11.918795  11.674062  11.785791  11.5994835],[11.872288  11.921239  11.873438  11.876431  11.897916  11.7988615],[12 12 12 12 12 11],0.3231220663291745,0.342150493207408
