,prediction_A,prediction_B,real_values,metrics_A,metrics_B
2020-05-19 06:00:00,[2.982226  3.0077152 3.0551157 3.1143146 3.1775434 3.2512865],[3.0139964 3.0608463 3.0702305 3.0810452 3.0529294 3.1100485],[3 3 3 3 3 3],0.13610508778941652,0.0710762645202944
2020-05-19 06:15:00,[2.982226  3.0077152 3.0551157 3.1143146 3.1775434 3.2512865],[3.0139964 3.0608463 3.0702305 3.0810452 3.0529294 3.1100485],[3 3 3 3 3 3],0.13610508778941652,0.0710762645202944
2020-05-19 06:30:00,[2.982226  3.0077152 3.0551157 3.1143146 3.1775434 3.2512865],[3.0139964 3.0608463 3.0702305 3.0810452 3.0529294 3.1100485],[3 3 3 3 3 3],0.13610508778941652,0.0710762645202944
2020-05-19 06:45:00,[2.982226  3.0077152 3.0551157 3.1143146 3.1775434 3.2512865],[3.0139964 3.0608463 3.0702305 3.0810452 3.0529294 3.1100485],[3 3 3 3 3 3],0.13610508778941652,0.0710762645202944
2020-05-19 07:00:00,[2.982226  3.0077152 3.0551157 3.1143146 3.1775434 3.2512865],[3.0139964 3.0608463 3.0702305 3.0810452 3.0529294 3.1100485],[3 3 3 3 3 3],0.13610508778941652,0.0710762645202944
2020-05-19 07:15:00,[2.982226  3.0077152 3.0551157 3.1143146 3.1775434 3.2512865],[3.0139964 3.0608463 3.0702305 3.0810452 3.0529294 3.1100485],[3 3 3 3 3 3],0.13610508778941652,0.0710762645202944
2020-05-19 07:30:00,[2.982226  3.0077152 3.0551157 3.1143146 3.1775434 3.2512865],[3.0139964 3.0608463 3.0702305 3.0810452 3.0529294 3.1100485],[3 3 3 3 3 3],0.13610508778941652,0.0710762645202944
2020-05-19 07:45:00,[2.982226  3.0077152 3.0551157 3.1143146 3.1775434 3.2512865],[3.0139964 3.0608463 3.0702305 3.0810452 3.0529294 3.1100485],[3 3 3 3 3 3],0.13610508778941652,0.0710762645202944
2020-05-19 08:00:00,[3.4413066 3.466497  3.4140012 3.4923646 3.4951744 3.6538997],[3.4040592 3.433665  3.4416447 3.4249544 3.385627  3.462693 ],[4 4 4 4 4 4],0.5119385329070337,0.5751046057549715
2020-05-19 08:15:00,[3.954303  3.944332  4.0005393 4.0402336 4.083682  4.1068916],[3.968808  3.9948287 3.976153  3.9904122 3.9565022 3.9993267],[4 4 4 3 3 3],0.7623264068928983,0.6947463673289085
2020-05-19 08:30:00,[3.0042636 3.0317593 3.0691006 3.1409078 3.1714253 3.2736666],[3.0150437 3.0386715 3.0610514 3.0894694 3.0437918 3.0934682],[3 3 3 3 3 3],0.14716022447144014,0.06338752377763923
2020-05-19 08:45:00,[2.9838092 3.0127954 3.0572379 3.1176136 3.1787777 3.2535152],[3.0412354 3.102832  3.1117637 3.120828  3.1035683 3.1522374],[3 3 3 3 3 3],0.13769920622822515,0.11050485504042985
2020-05-19 09:00:00,[2.982226  3.0077152 3.0551157 3.1143146 3.1775434 3.2512865],[3.0139964 3.0608463 3.0702305 3.0810452 3.0529294 3.1100485],[3 3 3 3 3 3],0.13610508778941652,0.0710762645202944
2020-05-19 09:15:00,[2.982226  3.0077152 3.0551157 3.1143146 3.1775434 3.2512865],[3.0139964 3.0608463 3.0702305 3.0810452 3.0529294 3.1100485],[3 3 3 3 3 3],0.13610508778941652,0.0710762645202944
2020-05-19 09:30:00,[2.982226  3.0077152 3.0551157 3.1143146 3.1775434 3.2512865],[3.0139964 3.0608463 3.0702305 3.0810452 3.0529294 3.1100485],[3 3 3 3 3 3],0.13610508778941652,0.0710762645202944
2020-05-19 09:45:00,[2.982226  3.0077152 3.0551157 3.1143146 3.1775434 3.2512865],[3.0139964 3.0608463 3.0702305 3.0810452 3.0529294 3.1100485],[3 3 3 3 3 3],0.13610508778941652,0.0710762645202944
2020-05-19 10:00:00,[5.04011   4.9720125 5.031181  5.079608  5.103704  5.04704  ],[4.9550805 5.00949   4.898621  4.887771  4.854647  4.8339024],[5 5 5 5 5 5],0.06146688633930764,0.11082771905708604
2020-05-19 10:15:00,[4.9578342 4.907061  4.9866548 5.003237  4.992002  5.0285516],[4.9203715 4.892972  4.8750057 4.873753  4.81596   4.8591824],[5 5 5 5 5 5],0.043747995688937946,0.13105844717266998
2020-05-19 10:30:00,[4.9634    4.95104   4.9840817 5.0069523 4.994207  5.0306745],[4.9185286 4.925846  4.899826  4.9503675 4.892489  4.884998 ],[5 5 5 5 5 5],0.02890466434846756,0.0907549148494344
2020-05-19 10:45:00,[4.9632998 4.9526653 4.9840035 5.006733  4.994969  5.030659 ],[4.9488935 4.9615417 4.944671  4.952235  4.9265466 4.9292955],[5 5 5 5 5 5],0.02844291640270169,0.05748651402300697
2020-05-19 11:00:00,[4.9632998 4.9526653 4.9840035 5.006733  4.994969  5.030659 ],[4.9488935 4.9615417 4.944671  4.952235  4.9265466 4.9292955],[5 5 5 5 5 5],0.02844291640270169,0.05748651402300697
2020-05-19 11:15:00,[4.9632998 4.9526653 4.9840035 5.006733  4.994969  5.030659 ],[4.9488935 4.9615417 4.944671  4.952235  4.9265466 4.9292955],[5 5 5 5 5 5],0.02844291640270169,0.05748651402300697
2020-05-19 11:30:00,[4.9632998 4.9526653 4.9840035 5.006733  4.994969  5.030659 ],[4.9488935 4.9615417 4.944671  4.952235  4.9265466 4.9292955],[5 5 5 5 5 5],0.02844291640270169,0.05748651402300697
2020-05-19 11:45:00,[4.9632998 4.9526653 4.9840035 5.006733  4.994969  5.030659 ],[4.9488935 4.9615417 4.944671  4.952235  4.9265466 4.9292955],[5 5 5 5 5 5],0.02844291640270169,0.05748651402300697
2020-05-19 12:00:00,[4.9632998 4.9526653 4.9840035 5.006733  4.994969  5.030659 ],[4.9488935 4.9615417 4.944671  4.952235  4.9265466 4.9292955],[5 5 5 5 5 5],0.02844291640270169,0.05748651402300697
2020-05-19 12:15:00,[5.4242535 5.442081  5.36171   5.4147015 5.333463  5.451177 ],[5.333842  5.3238554 5.313793  5.287181  5.2541895 5.2859545],[6 6 6 6 6 6],0.596967893375591,0.7007167113859144
2020-05-19 12:30:00,[5.9702835 5.939438  5.9826145 5.9813704 5.9567847 6.0043583],[5.938756  5.918744  5.892254  5.8881197 5.852196  5.86334  ],[6 6 6 6 6 6],0.034367406532533555,0.1118046828636548
2020-05-19 12:45:00,[5.9706354 5.957682  5.983172  5.9804235 5.9607325 6.0017023],[5.9220595 5.911914  5.8897996 5.915473  5.8754597 5.866499 ],[6 6 6 6 6 6],0.028473213275359267,0.10524230157491556
2020-05-19 13:00:00,[5.970011  5.960605  5.9823346 5.978996  5.961903  6.0013204],[5.959887  5.965472  5.948596  5.957775  5.9478703 5.934702 ],[6 6 6 6 6 6],0.02786168367552537,0.04866189421709807
2020-05-19 13:15:00,[5.970011  5.960605  5.9823346 5.978996  5.961903  6.0013204],[5.959887  5.965472  5.948596  5.957775  5.9478703 5.934702 ],[6 7 7 7 6 6],0.7258083452107297,0.7382999846118768
2020-05-19 13:30:00,[7.1021447 7.047142  7.027927  7.0642457 6.9801564 7.0339503],[6.986724  6.9733186 6.931623  6.9183865 6.892051  6.875776 ],[7 6 6 6 6 6],0.9421564390405756,0.8388105697596506
2020-05-19 13:45:00,[5.973333  5.964892  5.9935226 5.9876842 5.968927  6.0042524],[5.957729  5.9668064 5.955826  5.9823976 5.9674816 5.9484177],[6 6 6 6 6 6],0.022807043135609703,0.038444877699244026
2020-05-19 14:00:00,[5.969971  5.960549  5.983109  5.978959  5.962334  6.0014396],[5.973464  5.992011  5.96945   5.999728  5.991801  5.9623823],[6 6 6 6 6 6],0.027709611404189403,0.023035029270016886
2020-05-19 14:15:00,[5.970011  5.960605  5.9823346 5.978996  5.961903  6.0013204],[5.959887  5.965472  5.948596  5.957775  5.9478703 5.934702 ],[6 6 6 6 6 6],0.02786168367552537,0.04866189421709807
2020-05-19 14:30:00,[5.970011  5.960605  5.9823346 5.978996  5.961903  6.0013204],[5.959887  5.965472  5.948596  5.957775  5.9478703 5.934702 ],[6 6 6 6 6 6],0.02786168367552537,0.04866189421709807
2020-05-19 14:45:00,[5.970011  5.960605  5.9823346 5.978996  5.961903  6.0013204],[5.959887  5.965472  5.948596  5.957775  5.9478703 5.934702 ],[6 6 6 6 6 6],0.02786168367552537,0.04866189421709807
2020-05-19 15:00:00,[5.5217233 5.4708705 5.6096773 5.574976  5.6265783 5.5807166],[5.589476  5.6182475 5.5931168 5.636811  5.6319275 5.5861564],[5 5 5 5 5 6],0.5423124792762337,0.5856088611667885
2020-05-19 15:15:00,[6.821657  6.904249  6.6932364 6.752604  6.608501  6.794071 ],[6.6890364 6.6587734 6.6428037 6.5797653 6.5652018 6.603498 ],[8 8 8 8 8 8],1.2411905233985343,1.3775235436085689
2020-05-19 15:30:00,[8.062425 8.086591 8.051071 8.090294 8.08948  8.169845],[7.9716334 7.892007  7.867046  7.841893  7.8272943 7.8379436],[8 8 8 8 8 8],0.09917155854128273,0.13615632577844242
2020-05-19 15:45:00,[7.055125  7.074504  7.1422086 7.1336293 7.0884213 7.171984 ],[7.0324154 7.021093  7.0470777 7.1385517 7.1066217 7.101104 ],[7 7 7 7 7 7],0.11836848908534071,0.08611883355750999
2020-05-19 16:00:00,[6.021229  5.99263   6.06773   6.051626  6.0016093 6.0630884],[6.0713296 6.120557  6.1330667 6.1713886 6.205129  6.185957 ],[6 6 6 6 6 6],0.044234842730660896,0.1545750152341801
2020-05-19 16:15:00,[5.9705324 5.9590855 5.986676  5.9802    5.9634404 6.002396 ],[6.0027065 6.03871   6.012233  6.0358167 6.050715  6.017532 ],[6 7 7 7 7 7],0.9328145773020508,0.8846661169142528
2020-05-19 16:30:00,[6.9997406 7.0039477 7.002838  7.005658  6.9950724 7.054652 ],[6.973369  6.9465113 6.9213853 6.9244246 6.9111705 6.9094806],[7 7 8 8 8 8],0.804842131618595,0.8849316944449446
2020-05-19 16:45:00,[8.047445 8.085664 8.054577 8.080834 8.090039 8.163135],[8.000902  7.956742  7.9279027 7.9697986 7.9504595 7.945638 ],[8 8 8 8 8 8],0.0947119600735646,0.04724352352571177
2020-05-19 17:00:00,[8.670004  8.610521  8.84881   8.824957  9.0000105 8.872513 ],[8.862071  8.9089365 8.791183  8.9488735 8.968616  8.842658 ],[8 8 7 7 7 7],1.5851684721263033,1.625146867043099
2020-05-19 17:15:00,[6.977779  6.9859815 7.1072083 7.06862   7.053095  7.0993323],[7.0711946 7.1177087 7.1405616 7.1985736 7.242989  7.219192 ],[7 7 7 7 7 7],0.0702123146788308,0.17569000655752046
2020-05-19 17:30:00,[6.023395  5.9871774 6.0677195 6.053257  5.998067  6.0632186],[6.117698  6.134818  6.1660404 6.134574  6.220161  6.198692 ],[6 6 6 6 6 6],0.044970931651547114,0.16616138848332504
2020-05-19 17:45:00,[5.9705324 5.9590855 5.986676  5.9802    5.9634404 6.002396 ],[6.0027065 6.03871   6.012233  6.0358167 6.050715  6.017532 ],[6 6 6 6 6 6],0.02724656731156357,0.03113852886609226
2020-05-19 18:00:00,[5.970011  5.960605  5.9823346 5.978996  5.961903  6.0013204],[5.959887  5.965472  5.948596  5.957775  5.9478703 5.934702 ],[6 6 6 6 6 6],0.02786168367552537,0.04866189421709807
2020-05-19 18:15:00,[3.905208  3.998699  4.010376  3.9982655 4.0198946 4.1222725],[4.004259  4.0228233 4.10476   4.1394644 4.1377063 4.16037  ],[4 4 4 4 4 4],0.06382818293853687,0.11228354456983292
2020-05-19 18:30:00,[3.970635  4.00076   4.013709  4.061752  4.0828595 4.1204047],[3.9972847 4.0722346 4.0518475 4.082406  4.0913525 4.0581846],[4 4 4 4 4 4],0.06611493694146536,0.06637626690075307
