,prediction,real_values,metrics
2020-05-10 06:00:00,"[2.7477693434063113, 2.7131051577049314, 2.678597561624595, 2.644408100722194, 2.6106964704367877, 2.5776194740150347]","[3, 3, 3, 3, 3, 3]",0.34293746459778923
2020-05-10 06:15:00,"[2.656724428864346, 2.623034991759777, 2.5899658459338015, 2.557670164670618, 2.5262962658337895, 2.4959866248985856]","[3, 3, 3, 3, 3, 3]",0.42859249020164697
2020-05-10 06:30:00,"[2.6204135533872117, 2.5895048983441638, 2.5596447121495784, 2.5309681457468987, 2.503602735512013, 2.4776675342006476]","[3, 3, 3, 3, 3, 3]",0.4556565241123107
2020-05-10 06:45:00,"[2.4425627552935363, 2.4142998638773094, 2.387445859282338, 2.36211240987254, 2.338401222303969, 2.3164033269140014]","[3, 3, 3, 3, 3, 3]",0.6246227445816356
2020-05-10 07:00:00,"[2.4382282067556664, 2.415036207445424, 2.393532324091744, 2.373795898646696, 2.3558945135904827, 2.3398834864951126]","[3, 3, 3, 3, 3, 3]",0.6148618400072676
2020-05-10 07:15:00,"[2.3239396543598554, 2.3053991325699426, 2.2887194275430613, 2.2739445662525677, 2.2611056854623635, 2.250220754033282]","[3, 3, 3, 3, 3, 3]",0.7165587004738884
2020-05-10 07:30:00,"[2.279250902865391, 2.266338110679826, 2.2553488688459318, 2.24628854686944, 2.2391492075521895, 2.2339095759774565]","[3, 3, 3, 3, 3, 3]",0.7467835202517881
2020-05-10 07:45:00,"[2.311903627038551, 2.3050697073494057, 2.300100211774859, 2.296960394193658, 2.295602559107892, 2.295966282809369]","[3, 3, 3, 3, 3, 3]",0.699090881155982
2020-05-10 08:00:00,"[2.4560488132436618, 2.455908350189077, 2.457459499504918, 2.460627906418126, 2.4653273689585005, 2.471460303697968]","[3, 3, 3, 3, 3, 3]",0.5388908516468235
2020-05-10 08:15:00,"[2.217648715670749, 2.220066430320251, 2.2238908519599816, 2.2290178245889627, 2.235333055790381, 2.2427127654411345]","[3, 3, 3, 3, 3, 3]",0.7719378559692758
2020-05-10 08:30:00,"[2.3424586027583456, 2.3495512430179257, 2.3576740138161156, 2.3666931959301896, 2.3764672622190726, 2.3868477009595512]","[3, 3, 3, 3, 3, 3]",0.6369004726090015
2020-05-10 08:45:00,"[2.534453435451289, 2.545495198185088, 2.5571131620066883, 2.5691514122301085, 2.5814490263541456, 2.5938410213900505]","[3, 3, 3, 3, 3, 3]",0.4368900527082135
2020-05-10 09:00:00,"[2.342423599427288, 2.3526795201852817, 2.363010070593811, 2.3732506577823407, 2.383234654173841, 2.392794386141327]","[3, 3, 3, 3, 3, 3]",0.6323368806296268
2020-05-10 09:15:00,"[2.382663134382049, 2.3924583670613693, 2.4017994610450684, 2.4105197709522104, 2.4184537663800425, 2.425438017108084]","[3, 3, 3, 3, 3, 3]",0.5949593768585083
2020-05-10 09:30:00,"[2.6545789154382473, 2.6645691039385793, 2.673584844670319, 2.6814625516180652, 2.6880428478141702, 2.6931715115868124]","[3, 3, 3, 3, 3, 3]",0.32437210048666154
2020-05-10 09:45:00,"[2.4633984906001443, 2.467924261385921, 2.470980890018094, 2.47242368102931, 2.4721149206334885, 2.4699246921443345]","[3, 3, 3, 3, 3, 3]",0.5305478695953049
2020-05-10 10:00:00,"[2.5867479711542902, 2.5872640917526932, 2.5858743856734727, 2.582456549113795, 2.57689771062382, 2.569095093531896]","[3, 3, 3, 3, 3, 3]",0.41866162008929503
2020-05-10 10:15:00,"[2.5242975253574493, 2.518096813121617, 2.509633754622917, 2.498817421002366, 2.48556820149201, 2.4698182644761486]","[3, 3, 3, 3, 3, 3]",0.4993160832578521
2020-05-10 10:30:00,"[2.6288467882085835, 2.616655243734901, 2.601946357869456, 2.584663527186102, 2.5647627582541395, 2.5422129130581532]","[3, 3, 3, 3, 3, 3]",0.4112297553305127
2020-05-10 10:45:00,"[2.6412198412371803, 2.6216760741905105, 2.5994655129032984, 2.5745695732630116, 2.5469828904999545, 2.5167133347233444]","[3, 3, 3, 3, 3, 3]",0.4187404965773788
2020-05-10 11:00:00,"[2.5737480250060347, 2.5460918721628425, 2.5157354731587698, 2.482700235861857, 2.447020699290445, 2.4087443167369074]","[3, 3, 3, 3, 3, 3]",0.5074780623569133
2020-05-10 11:15:00,"[2.4521828551648994, 2.4161093831234632, 2.377418588206194, 2.3361714989664457, 2.2924415056913126, 2.2463139233332603]","[3, 3, 3, 3, 4, 4]",1.1150843493302725
2020-05-10 11:30:00,"[2.3581074567307962, 2.314436828753302, 2.268342337564285, 2.219920989097176, 2.169280788108304, 2.1165401113919775]","[3, 4, 4, 4, 4, 4]",1.6492130836190548
2020-05-10 11:45:00,"[2.3350624316395114, 2.285145983310458, 2.2330709816619962, 2.1789651385967534, 2.122965464229879, 2.0652174894644633]","[4, 4, 4, 4, 4, 4]",1.7989621794677984
2020-05-10 12:00:00,"[2.101832757710747, 2.0446831381497184, 1.985706361398702, 1.9250583379268797, 1.86290223194269, 1.7994075578598308]","[4, 4, 4, 4, 4, 4]",2.049343742115689
2020-05-10 12:15:00,"[2.091792989434179, 2.0306920949295195, 1.968169770310677, 1.9044003419020028, 1.8395630842002122, 1.7738412524846667]","[4, 4, 4, 4, 4, 4]",2.068113877656603
