,prediction,real_values,metrics
2020-05-10 06:00:00,"[19.769683333193353, 19.773769697476258, 19.773677125772604, 19.769377708626667, 19.76086991657086, 19.748178274612865]","[18, 18, 18, 18, 18, 18]",1.7659490462946528
2020-05-10 06:15:00,"[19.700628375137047, 19.691184769854775, 19.677654807194806, 19.66008991960572, 19.63856578598817, 19.613181474420678]","[18, 18, 18, 18, 18, 18]",1.6638268787054087
2020-05-10 06:30:00,"[19.45093870305419, 19.428633258644016, 19.402579381480994, 19.372899134207433, 19.339735257786813, 19.303249857813757]","[18, 18, 18, 18, 18, 18]",1.3839344766905333
2020-05-10 06:45:00,"[19.150319358890243, 19.11573655754366, 19.077953761085528, 19.037153656105936, 18.99353457302032, 18.947308817219874]","[18, 18, 18, 18, 18, 18]",1.0559576738407153
2020-05-10 07:00:00,"[18.992700049210388, 18.948154808407285, 18.90103995246277, 18.85158132520317, 18.80001495121295, 18.746585160648195]","[18, 18, 18, 18, 18, 18]",0.8773946282452206
2020-05-10 07:15:00,"[18.991621495024653, 18.940833539946176, 18.888217806506933, 18.834023858091832, 18.77850551747556, 18.721918941816227]","[18, 18, 18, 18, 18, 18]",0.8641224263414976
2020-05-10 07:30:00,"[18.595033220778493, 18.538641919910425, 18.481277997507632, 18.42319739660598, 18.364654106256182, 18.305898306181383]","[18, 18, 18, 18, 18, 18]",0.46214546592099204
2020-05-10 07:45:00,"[18.548734097748003, 18.48986296328492, 18.430801119419993, 18.37179506290815, 18.31308384443447, 18.254897417276048]","[18, 18, 18, 18, 18, 18]",0.4139022012315346
2020-05-10 08:00:00,"[18.288075126397615, 18.2293114742157, 18.171125604811714, 18.113733719988858, 18.05733952320988, 18.002132904276223]","[18, 18, 18, 18, 18, 18]",0.17372522966994244
2020-05-10 08:15:00,"[18.22490250886337, 18.16841972272025, 18.113131078575247, 18.059214541927577, 18.006831927373774, 17.956127974353567]","[18, 18, 18, 18, 18, 18]",0.1272941307074929
2020-05-10 08:30:00,"[17.881932846738227, 17.827894638220126, 17.77555809501976, 17.725053115740582, 17.67649103410595, 17.629964138625827]","[18, 18, 18, 18, 18, 18]",0.2617615504693168
2020-05-10 08:45:00,"[17.708736794368477, 17.661440906071356, 17.616167068836802, 17.572983150312396, 17.531937524227473, 17.493059087985518]","[18, 18, 18, 18, 18, 18]",0.40930819551599823
2020-05-10 09:00:00,"[17.706921134449377, 17.667049074280403, 17.629367644358517, 17.593885363235813, 17.56059191469327, 17.529458649606784]","[18, 18, 18, 18, 18, 18]",0.3902002924728182
2020-05-10 09:15:00,"[17.544283622539414, 17.511522973609715, 17.48087386678125, 17.45228779923948, 17.425699591714597, 17.40102831420179]","[18, 18, 18, 18, 18, 18]",0.5329721472388299
2020-05-10 09:30:00,"[17.536634235357777, 17.510220364292334, 17.485743971872004, 17.46310924238324, 17.442206656694847, 17.422914252512523]","[18, 18, 18, 18, 18, 18]",0.5246370563328212
2020-05-10 09:45:00,"[17.254097556965732, 17.23154731121632, 17.21052845328583, 17.19090696392225, 17.172539429630014, 17.15527453909873]","[18, 18, 18, 18, 17, 17]",0.642737231273858
2020-05-10 10:00:00,"[17.183953727526962, 17.164709634318786, 17.146518094008886, 17.129220405308526, 17.112653354179653, 17.096650834970728]","[18, 17, 17, 17, 17, 17]",0.35432057273584183
2020-05-10 10:15:00,"[17.28295643789531, 17.268327101183296, 17.254366544655586, 17.240906861242767, 17.22778010820818, 17.214819912464947]","[17, 17, 17, 17, 17, 17]",0.2492768227949518
2020-05-10 10:30:00,"[17.051853483559334, 17.036927838924562, 17.022185375962465, 17.007463103995274, 16.992602552562857, 16.977451254793102]","[17, 17, 17, 17, 17, 18]",0.41838200176901785
2020-05-10 10:45:00,"[17.021332650375538, 17.00745644798497, 16.993296653533076, 16.97870873843812, 16.963556923953096, 16.947715418782145]","[17, 17, 18, 18, 18, 18]",0.8404874814726437
2020-05-10 11:00:00,"[17.039273613673036, 17.024410982470464, 17.008907849017266, 16.99264576060318, 16.97551823058041, 16.95743167809543]","[18, 18, 18, 18, 18, 18]",1.0006920053635757
2020-05-10 11:15:00,"[17.048772027925125, 17.03280843103345, 17.01583648984461, 16.997776158331916, 16.97856212380177, 16.95814434905486]","[18, 18, 18, 18, 18, 18]",0.9951652427114505
2020-05-10 11:30:00,"[17.114137121166912, 17.095909244258973, 17.076449682763418, 17.055720314089648, 17.03369914426684, 17.010380440315274]","[18, 18, 18, 18, 18, 18]",0.9362893663377436
2020-05-10 11:45:00,"[16.872716454335777, 16.8469241925201, 16.819736299071376, 16.791171709875133, 16.76126592158458, 16.73007063142641]","[18, 18, 18, 18, 18, 18]",1.1973458820136367
2020-05-10 12:00:00,"[16.723190418805295, 16.69149924155644, 16.658410343531543, 16.62399682114786, 16.588347297331712, 16.551565099742295]","[18, 18, 18, 18, 18, 18]",1.3617630428521423
2020-05-10 12:15:00,"[16.879755014866205, 16.849258919508557, 16.817655787003716, 16.78505029898652, 16.75155992265412, 16.717313786089242]","[18, 18, 18, 18, 18, 18]",1.2011855966174056
2020-05-10 12:30:00,"[16.762432600740638, 16.72633087003689, 16.689335917372183, 16.651591896481545, 16.61325274384252, 16.57448074687136]","[18, 18, 18, 18, 18, 16]",1.2208567314555243
2020-05-10 12:45:00,"[16.647876795783173, 16.60936146104105, 16.570359948932776, 16.5310435580415, 16.491589070642476, 16.452177115227197]","[18, 18, 16, 16, 16, 16]",0.8958752140796692
2020-05-10 13:00:00,"[16.590554814138123, 16.551142508357135, 16.51173369929419, 16.472510991068393, 16.433657776171746, 16.395356529782266]","[16, 16, 16, 16, 16, 16]",0.4969937828533604
2020-05-10 13:15:00,"[16.36746405817187, 16.32865975499094, 16.290457427317392, 16.25303617359813, 16.216570549543334, 16.18122892334725]","[16, 16, 16, 16, 16, 16]",0.2802340142389837
2020-05-10 13:30:00,"[16.35882015314037, 16.32287345820159, 16.288016238181882, 16.254407953913194, 16.222198871086757, 16.19152861079734]","[16, 16, 16, 17, 17, 17]",0.5958831832181369
2020-05-10 13:45:00,"[16.152139503416933, 16.119829761756687, 16.089076843818468, 16.060007976518634, 16.032737136397525, 16.007363898818358]","[17, 17, 17, 17, 17, 17]",0.9244689419071219
2020-05-10 14:00:00,"[16.092355828861454, 16.06465407577391, 16.038803471495036, 16.01488932764001, 15.99298088109613, 15.973130525275712]","[17, 17, 17, 17, 17, 17]",0.9713890540984892
2020-05-10 14:15:00,"[16.02491362886054, 16.002675585524447, 15.982451233601115, 15.964276266243663, 15.948168682721596, 15.934128462162306]","[17, 17, 17, 17, 17, 17]",1.0243705236824794
2020-05-10 14:30:00,"[15.9932605863968, 15.977488494065943, 15.963715801907902, 15.951925157908377, 15.942081403143893, 15.93413171207805]","[17, 17, 17, 17, 17, 17]",1.0397649418083292
2020-05-10 14:45:00,"[16.03107953631596, 16.021608981735472, 16.013979408604598, 16.008120568248174, 16.00394561742319, 16.001351722572437]","[17, 17, 17, 17, 17, 17]",0.9867066415112078
2020-05-10 15:00:00,"[16.030440402943313, 16.02615632130636, 16.02338342154133, 16.022005860081986, 16.02189377659491, 16.02290430424355]","[17, 17, 17, 17, 17, 16]",0.8903076428242124
2020-05-10 15:15:00,"[15.976449454135885, 15.976319364779734, 15.977310006447013, 15.979265019513559, 15.98201762023903, 15.985391970615598]","[17, 17, 16, 16, 16, 16]",0.591193608810637
2020-05-10 15:30:00,"[16.057770999185898, 16.06061581360092, 16.06402215064674, 16.067809336419582, 16.071790878127985, 16.075776063551565]","[16, 16, 16, 16, 16, 16]",0.06658909955127063
