,prediction,real_values,metrics
2020-05-10 06:00:00,"[4.413321214671511, 4.408099218328794, 4.402925062724555, 4.3978746883257545, 4.393033999619164, 4.388498335388875]","[6, 6, 6, 6, 6, 6]",1.5993972238264202
2020-05-10 06:15:00,"[4.722319867158604, 4.719585188408958, 4.717064056353074, 4.714857900166822, 4.713076761057398, 4.711838466044089]","[6, 6, 6, 6, 6, 6]",1.2835481437768739
2020-05-10 06:30:00,"[4.739010720788929, 4.737344274584939, 4.736166203678569, 4.735601063588849, 4.735779581482794, 4.736837561581921]","[6, 6, 6, 6, 6, 6]",1.2632106310744267
2020-05-10 06:45:00,"[4.904996020076009, 4.906472786436713, 4.908768331758575, 4.912020779066036, 4.916371282427474, 4.921962741244746]","[6, 6, 6, 6, 6, 6]",1.0882506107374292
2020-05-10 07:00:00,"[4.942450556188228, 4.947062557584488, 4.9528679225505945, 4.960009489767479, 4.96862941876435, 4.978867795786819]","[6, 6, 6, 6, 6, 6]",1.0417605440682252
2020-05-10 07:15:00,"[5.038673556414831, 5.047618147980573, 5.058130346054232, 5.070346489715562, 5.0843983228563445, 5.100411586711623]","[6, 6, 6, 6, 6, 6]",0.9336433617742856
2020-05-10 07:30:00,"[5.173511539013388, 5.188463305914482, 5.205330377479667, 5.224229439604103, 5.245268709852799, 5.26854662831874]","[6, 6, 6, 6, 6, 6]",0.7831174995486506
2020-05-10 07:45:00,"[5.35067648349118, 5.371361876944472, 5.394236915070574, 5.419390723149765, 5.446900423960059, 5.476830001402204]","[6, 6, 6, 6, 6, 6]",0.5916768479959175
2020-05-10 08:00:00,"[5.5587676820603535, 5.587154137211934, 5.617922619706589, 5.651121240988295, 5.686783208804105, 5.724925974586405]","[6, 6, 6, 6, 6, 6]",0.36665098199362356
2020-05-10 08:15:00,"[5.660514727309158, 5.69636596186777, 5.734670629840281, 5.775429225235645, 5.8186252992383425, 5.864224960254382]","[6, 6, 6, 6, 6, 6]",0.25153105524910874
2020-05-10 08:30:00,"[5.81742292387648, 5.860905766787152, 5.906773076770875, 5.9549727857837365, 6.005434907258997, 6.058071436381761]","[6, 6, 6, 6, 6, 6]",0.10551629701463583
2020-05-10 08:45:00,"[5.959233026305899, 6.01063207449258, 6.064183612119858, 6.11977964553624, 6.177294605253695, 6.2365856808473]","[6, 6, 6, 6, 6, 6]",0.13394516797043918
2020-05-10 09:00:00,"[6.2653862000226175, 6.323244525874766, 6.382874946120485, 6.444116941672269, 6.506793834572845, 6.570713539641789]","[6, 6, 6, 6, 6, 6]",0.4284281106574452
2020-05-10 09:15:00,"[6.460964922653231, 6.5237608756808845, 6.58780835778063, 6.6529006628640746, 6.718817588290136, 6.785326567505122]","[6, 6, 6, 6, 6, 6]",0.6314069737129981
2020-05-10 09:30:00,"[6.604295383468776, 6.670104431661448, 6.73651253359558, 6.803275767550627, 6.870140427630259, 6.936844475782596]","[6, 6, 6, 6, 6, 6]",0.7785389592362902
2020-05-10 09:45:00,"[6.7897958942022525, 6.856821526489464, 6.92370504564437, 6.990176951094366, 7.055962501129941, 7.120783400680445]","[6, 6, 6, 6, 6, 6]",0.9628788711995654
2020-05-10 10:00:00,"[7.017902725591412, 7.084175252995258, 7.149508571296698, 7.213621033847442, 7.27623087681787, 7.33705804606408]","[6, 6, 6, 6, 6, 6]",1.1847853094367822
2020-05-10 10:15:00,"[7.198020771728241, 7.260969638836129, 7.322174417637779, 7.381357876319367, 7.438248004025214, 7.492579853678885]","[6, 6, 6, 6, 6, 5]",1.5791930756313788
2020-05-10 10:30:00,"[7.31500072206917, 7.371444795462375, 7.4253749731258, 7.476535020937656, 7.524679160765677, 7.569573811299814]","[6, 6, 5, 5, 5, 5]",2.183364057013903
2020-05-10 10:45:00,"[7.452873008554353, 7.501296584250433, 7.546538262625336, 7.588376771303695, 7.6266059634481, 7.661036350712915]","[5, 5, 5, 5, 5, 5]",2.5637796115225857
2020-05-10 11:00:00,"[7.490868337039134, 7.528786916943638, 7.563010940831812, 7.593368476740851, 7.619706472835722, 7.641891977483561]","[5, 5, 5, 5, 5, 5]",2.5734616345581274
2020-05-10 11:15:00,"[7.51097009457084, 7.5371977935803685, 7.559374100771661, 7.577386269290623, 7.591143179984996, 7.6005761723244945]","[5, 5, 5, 5, 5, 5]",2.5629630845192786
2020-05-10 11:30:00,"[7.482363341230421, 7.495940611553088, 7.505297132975717, 7.510386326296875, 7.511184732991403, 7.507692402164253]","[5, 5, 5, 5, 5, 5]",2.502164745212991
2020-05-10 11:45:00,"[7.469144600943517, 7.470133440804208, 7.466930730162568, 7.459559113008275, 7.448064532683203, 7.4325161484393885]","[5, 5, 5, 5, 5, 5]",2.457762102067314
2020-05-10 12:00:00,"[7.349823465231246, 7.337903308081158, 7.3220302207577195, 7.30229580198167, 7.278813664843394, 7.2517188825208665]","[5, 5, 5, 5, 5, 5]",2.3073463165362633
2020-05-10 12:15:00,"[7.219019083150654, 7.195386270195032, 7.168230577059075, 7.137706492320422, 7.103987895788163, 7.067267072371333]","[5, 5, 5, 5, 5, 5]",2.149230004113267
2020-05-10 12:30:00,"[7.109995421426455, 7.07642343930535, 7.039944908244236, 7.000768281893759, 6.959117568049775, 6.915230971640325]","[5, 5, 5, 5, 5, 5]",2.018015330484077
2020-05-10 12:45:00,"[6.901167313786245, 6.858664795543445, 6.814020554687668, 6.767486520399217, 6.719325298169869, 6.669808518190875]","[5, 5, 5, 5, 5, 5]",1.7901625214010488
