,prediction,real_values,metrics
2020-05-10 06:00:00,"[11.388147506945446, 11.380669680336757, 11.372048684786375, 11.36230337415889, 11.351457685945011, 11.339540502903054]","[11, 11, 11, 11, 11, 11]",0.3660742432839095
2020-05-10 06:15:00,"[11.36281072212836, 11.351946954082058, 11.340033360585949, 11.327104293628611, 11.313198613691247, 11.298359480174879]","[11, 11, 11, 11, 11, 11]",0.3329739566464946
2020-05-10 06:30:00,"[11.270831239540021, 11.256608781118368, 11.241471838356084, 11.225468176510086, 11.208649260563647, 11.191069991579893]","[11, 11, 11, 11, 11, 11]",0.23394601578561716
2020-05-10 06:45:00,"[11.216015934255005, 11.199102107547153, 11.18144453370571, 11.16310188304835, 11.144135625406035, 11.124609731017225]","[11, 11, 11, 11, 11, 11]",0.17422760005366292
2020-05-10 07:00:00,"[11.114380972832977, 11.095063891600628, 11.075199658394178, 11.054855096686227, 11.034098832846608, 11.013000979664657]","[11, 11, 11, 11, 11, 11]",0.07316189418141145
2020-05-10 07:15:00,"[11.079503074713504, 11.058830101715287, 11.037824742060169, 11.016558637092242, 10.99510423782158, 10.973534492765504]","[11, 11, 11, 11, 11, 11]",0.04511284165196138
2020-05-10 07:30:00,"[10.999087622538825, 10.977400311693614, 10.955601700637418, 10.933765925015852, 10.9119670165453, 10.890278606985419]","[11, 11, 11, 11, 11, 11]",0.06665624536939282
2020-05-10 07:45:00,"[10.939417937709425, 10.917427651725978, 10.895544238978307, 10.873841434538651, 10.852392049665928, 10.83126770473982]","[11, 11, 11, 11, 11, 11]",0.12081257045960778
2020-05-10 08:00:00,"[10.904326320670068, 10.882903491761299, 10.861800564888366, 10.84108858470241, 10.820837006072761, 10.801113466634742]","[11, 11, 11, 11, 11, 11]",0.15213601287570627
2020-05-10 08:15:00,"[10.831815192577066, 10.811406607680963, 10.791522647373126, 10.772229513082895, 10.753591202600694, 10.735669326200279]","[11, 11, 11, 11, 11, 11]",0.21976646653900722
2020-05-10 08:30:00,"[10.786336683997225, 10.767777304821696, 10.749924098402651, 10.732835977690373, 10.716569198904207, 10.701177228990039]","[11, 11, 11, 11, 11, 11]",0.2592045625953363
2020-05-10 08:45:00,"[10.72629277951981, 10.709680468286294, 10.693938844915731, 10.67911983132305, 10.665272379877274, 10.652442381240277]","[11, 11, 11, 11, 11, 11]",0.3132298049808571
2020-05-10 09:00:00,"[10.673122253684932, 10.659238514270612, 10.646356888661398, 10.634520482843248, 10.623769288764203, 10.614140134754727]","[11, 11, 11, 11, 11, 10]",0.40831438705251893
2020-05-10 09:15:00,"[10.648764611171458, 10.638013307629656, 10.628367176595575, 10.619860268584503, 10.612523510274114, 10.606384689746148]","[11, 11, 10, 10, 11, 11]",0.4723247060317079
2020-05-10 09:30:00,"[10.617996456199615, 10.610492028625144, 10.604187593474238, 10.599108541625862, 10.595277130566613, 10.592712494726205]","[10, 11, 11, 11, 11, 11]",0.4436029033552873
2020-05-10 09:45:00,"[10.606823066709737, 10.603004726418002, 10.600450538114185, 10.599176599757413, 10.599195931009152, 10.600518504468074]","[11, 11, 11, 11, 11, 11]",0.39848084140171236
2020-05-10 10:00:00,"[10.618118461386457, 10.618025614549145, 10.619220370775205, 10.62171003205008, 10.625499028548722, 10.63058896258443]","[11, 11, 11, 11, 11, 11]",0.3778337065299425
2020-05-10 10:15:00,"[10.647125960877279, 10.651004491223162, 10.65616877831184, 10.662617854577958, 10.670348106675384, 10.679353322834093]","[11, 11, 11, 11, 11, 11]",0.3390794489104241
