,prediction,real_values,metrics
2020-05-10 06:00:00,"[22.78768765037504, 22.82398404902053, 22.86555341773936, 22.912197853904722, 22.9636915890654, 23.019782254849726]","[0, 0, 0, 0, 0, 0]",22.895621147486455
2020-05-10 06:15:00,"[21.76728394264943, 21.813835175253875, 21.866039807788567, 21.923617544354965, 21.986258570438018, 22.053625378966093]","[0, 0, 0, 0, 0, 0]",21.901996547810988
2020-05-10 06:30:00,"[21.076528810879008, 21.136989232923263, 21.20315826190979, 21.274664243124665, 21.351106527723914, 21.43205791546829]","[0, 0, 0, 0, 0, 0]",21.246099626111807
2020-05-10 06:45:00,"[20.240575441219455, 20.312929005632412, 20.390769782484384, 20.4736423255347, 20.56106455409388, 20.65253075436335]","[0, 0, 0, 0, 0, 0]",20.439071666513716
2020-05-10 07:00:00,"[19.85814636755328, 19.944908296744835, 20.03664368418876, 20.132816987839792, 20.232870375118665, 20.336227238915573]","[0, 0, 0, 0, 0, 0]",20.090934672312986
2020-05-10 07:15:00,"[19.202903031540103, 19.299630371675985, 19.400587423844257, 19.50517793533271, 19.612789035478077, 19.722795127811256]","[0, 0, 0, 0, 0, 0]",19.458126483147723
2020-05-10 07:30:00,"[18.782895879486713, 18.88861720756769, 18.997600405574214, 19.109204614080355, 19.22277958314291, 19.337669820378306]","[0, 0, 0, 0, 0, 0]",19.05740577295517
2020-05-10 07:45:00,"[18.46184753374002, 18.57425178936468, 18.688835837747316, 18.80493493923467, 18.921882660792726, 19.039015126254174]","[0, 0, 0, 0, 0, 0]",18.74950020373628
2020-05-10 08:00:00,"[17.983975726936638, 18.098641369686206, 18.21435264480303, 18.330445478502792, 18.446261841469, 18.561153923486263]","[0, 0, 0, 0, 0, 0]",18.273537729827407
2020-05-10 08:15:00,"[17.637145958159405, 17.750886009561192, 17.86452112631085, 17.97741343696976, 18.088938898702267, 18.198491220187226]","[0, 0, 0, 0, 0, 0]",17.920594176357625
2020-05-10 08:30:00,"[17.44655497778007, 17.55804999035832, 17.668374978475118, 17.776934837951394, 17.88315515699922, 17.98648576418902]","[0, 0, 0, 0, 0, 0]",17.720887840737937
2020-05-10 08:45:00,"[16.97874595162496, 17.08218126117285, 17.183526249287514, 17.28225452523993, 17.377866031503196, 17.469890051387367]","[0, 0, 0, 0, 0, 0]",17.22989607620502
2020-05-10 09:00:00,"[16.564664571794797, 16.65796354715317, 16.7484473537034, 16.835672864075516, 16.91922736338224, 16.9987309224303]","[0, 0, 0, 0, 0, 0]",16.788107591423714
2020-05-10 09:15:00,"[16.145266999742695, 16.22679766798208, 16.30502860092018, 16.379609975757372, 16.450224582867886, 16.516589506135436]","[0, 0, 0, 0, 0, 0]",16.337746720536153
2020-05-10 09:30:00,"[15.775639276276257, 15.844838413950031, 15.910518090715724, 15.972425372854502, 16.030340184847034, 16.08407628464084]","[0, 0, 0, 0, 0, 0]",15.936655721521598
2020-05-10 09:45:00,"[15.601727287380301, 15.660174607008846, 15.715162317089774, 15.766529712901075, 15.81414714743838, 15.857916345475534]","[0, 0, 0, 0, 0, 1]",15.572677339077167
2020-05-10 10:00:00,"[15.022359712368086, 15.06684529421876, 15.108201348829962, 15.146358161852133, 15.181273327429825, 15.212931441606022]","[0, 0, 1, 1, 1, 1]",14.462352542269276
2020-05-10 10:15:00,"[14.407214532554525, 14.439094370022259, 14.46837579421027, 14.495068344367219, 14.519203668984993, 14.540834693730254]","[1, 1, 1, 1, 1, 1]",13.478376183155637
2020-05-10 10:30:00,"[14.283582551519919, 14.309115348282429, 14.332733133448437, 14.354499262599974, 14.374493026202865, 14.392808475083552]","[1, 1, 1, 1, 1, 1]",13.341257578639825
2020-05-10 10:45:00,"[13.736780790436097, 13.75468664998304, 13.771533184028153, 13.787425376732095, 13.802476881200075, 13.816808614927819]","[1, 1, 1, 1, 1, 2]",12.616644457584568
2020-05-10 11:00:00,"[13.359424877868824, 13.37352308713569, 13.387479012656867, 13.401413861683494, 13.415449947136464, 13.429709239306215]","[1, 1, 2, 2, 2, 2]",11.73653216811587
