,prediction_A,prediction_B,real_values,metrics_A,metrics_B
2020-05-10 06:00:00,[15.016394 14.24917  13.684796 12.83143  12.938173 12.763099],[12.150489 11.452685 11.823194 10.597077 10.025501  9.789685],[19 19 19 19 19 19],5.483107746997216,8.07635382282241
2020-05-10 06:15:00,[15.016394 14.24917  13.684796 12.83143  12.938173 12.763099],[12.150489 11.452685 11.823194 10.597077 10.025501  9.789685],[19 19 19 19 19 19],5.483107746997216,8.07635382282241
2020-05-10 06:30:00,[15.016394 14.24917  13.684796 12.83143  12.938173 12.763099],[12.150489 11.452685 11.823194 10.597077 10.025501  9.789685],[19 19 19 19 19 19],5.483107746997216,8.07635382282241
2020-05-10 06:45:00,[15.016394 14.24917  13.684796 12.83143  12.938173 12.763099],[12.150489 11.452685 11.823194 10.597077 10.025501  9.789685],[19 19 19 19 19 19],5.483107746997216,8.07635382282241
2020-05-10 07:00:00,[15.016394 14.24917  13.684796 12.83143  12.938173 12.763099],[12.150489 11.452685 11.823194 10.597077 10.025501  9.789685],[19 19 19 19 19 19],5.483107746997216,8.07635382282241
2020-05-10 07:15:00,[15.016394 14.24917  13.684796 12.83143  12.938173 12.763099],[12.150489 11.452685 11.823194 10.597077 10.025501  9.789685],[19 19 19 19 19 19],5.483107746997216,8.07635382282241
2020-05-10 07:30:00,[15.016394 14.24917  13.684796 12.83143  12.938173 12.763099],[12.150489 11.452685 11.823194 10.597077 10.025501  9.789685],[19 19 19 19 19 19],5.483107746997216,8.07635382282241
2020-05-10 07:45:00,[15.016394 14.24917  13.684796 12.83143  12.938173 12.763099],[12.150489 11.452685 11.823194 10.597077 10.025501  9.789685],[19 19 19 19 19 19],5.483107746997216,8.07635382282241
2020-05-10 08:00:00,[15.016394 14.24917  13.684796 12.83143  12.938173 12.763099],[12.150489 11.452685 11.823194 10.597077 10.025501  9.789685],[19 19 19 19 19 19],5.483107746997216,8.07635382282241
2020-05-10 08:15:00,[15.016394 14.24917  13.684796 12.83143  12.938173 12.763099],[12.150489 11.452685 11.823194 10.597077 10.025501  9.789685],[19 19 19 19 19 19],5.483107746997216,8.07635382282241
2020-05-10 08:30:00,[15.016394 14.24917  13.684796 12.83143  12.938173 12.763099],[12.150489 11.452685 11.823194 10.597077 10.025501  9.789685],[19 19 19 19 19 19],5.483107746997216,8.07635382282241
2020-05-10 08:45:00,[15.016394 14.24917  13.684796 12.83143  12.938173 12.763099],[12.150489 11.452685 11.823194 10.597077 10.025501  9.789685],[19 19 19 19 19 19],5.483107746997216,8.07635382282241
2020-05-10 09:00:00,[15.016394 14.24917  13.684796 12.83143  12.938173 12.763099],[12.150489 11.452685 11.823194 10.597077 10.025501  9.789685],[19 19 19 19 19 19],5.483107746997216,8.07635382282241
2020-05-10 09:15:00,[14.71912   14.02708   13.562007  12.796818  12.8573675 12.555846 ],[11.919207 11.227467 11.597799 10.41549   9.832867  9.664742],[18 18 18 18 18 18],4.644039852190975,7.274782991180861
2020-05-10 09:30:00,[14.598288 13.944474 13.531776 12.783672 12.84415  12.462384],[12.03913   11.3460865 11.732553  10.550113   9.967255   9.823434 ],[18 18 18 18 18 18],4.698262353959286,7.141072320623993
2020-05-10 09:45:00,[14.598163  13.944286  13.531673  12.783794  12.844094  12.4620695],[12.150962 11.438443 11.771914 10.619656 10.067172  9.90621 ],[18 18 18 18 18 18],4.698370137047197,7.0588362588215965
2020-05-10 10:00:00,[14.598163  13.944286  13.531673  12.7837925 12.844094  12.462072 ],[12.163223 11.475172 11.751998 10.619399 10.076843  9.901722],[18 18 18 18 18 18],4.698369927931495,7.053493959647708
2020-05-10 10:15:00,[14.598163  13.944286  13.531673  12.7837925 12.844094  12.462072 ],[12.163223 11.475172 11.751998 10.619399 10.076843  9.901722],[18 18 18 18 18 18],4.698369927931495,7.053493959647708
2020-05-10 10:30:00,[14.280185 13.697078 13.387584 12.725876 12.74198  12.248313],[11.909259  11.2351465 11.499132  10.418836   9.867567   9.74126  ],[17 17 17 17 17 17],3.880155633783281,6.275366718176489
2020-05-10 10:45:00,[14.110467 13.585022 13.335085 12.70588  12.717521 12.125324],[12.069982  11.395589  11.697718  10.622307  10.0731325 10.01115  ],[17 17 17 17 17 17],3.9577905532488376,6.073565487266108
2020-05-10 11:00:00,[14.110647 13.585006 13.334967 12.70616  12.717469 12.125206],[12.173732 11.484796 11.770408 10.734172 10.190735 10.148279],[17 17 17 17 17 17],3.957772239870369,5.967017016013498
2020-05-10 11:15:00,[14.110648 13.585007 13.334965 12.706158 12.71747  12.12521 ],[12.199843 11.534794 11.758741 10.756236 10.222372 10.165546],[17 17 17 17 17 17],3.9577716708659834,5.944344058922316
2020-05-10 11:30:00,[14.110648 13.585007 13.334965 12.706158 12.71747  12.12521 ],[12.199843 11.534794 11.758741 10.756236 10.222372 10.165546],[17 17 17 17 17 17],3.9577716708659834,5.944344058922316
2020-05-10 11:45:00,[14.110648 13.585007 13.334965 12.706158 12.71747  12.12521 ],[12.199843 11.534794 11.758741 10.756236 10.222372 10.165546],[17 17 17 17 17 17],3.9577716708659834,5.944344058922316
2020-05-10 12:00:00,[14.110648 13.585007 13.334965 12.706158 12.71747  12.12521 ],[12.199843 11.534794 11.758741 10.756236 10.222372 10.165546],[17 17 17 17 17 17],3.9577716708659834,5.944344058922316
2020-05-10 12:15:00,[14.110648 13.585007 13.334965 12.706158 12.71747  12.12521 ],[12.199843 11.534794 11.758741 10.756236 10.222372 10.165546],[17 17 17 17 17 17],3.9577716708659834,5.944344058922316
2020-05-10 12:30:00,[14.110648 13.585007 13.334965 12.706158 12.71747  12.12521 ],[12.199843 11.534794 11.758741 10.756236 10.222372 10.165546],[17 17 17 17 17 17],3.9577716708659834,5.944344058922316
2020-05-10 12:45:00,[14.110648 13.585007 13.334965 12.706158 12.71747  12.12521 ],[12.199843 11.534794 11.758741 10.756236 10.222372 10.165546],[17 17 17 17 17 17],3.9577716708659834,5.944344058922316
2020-05-10 13:00:00,[14.110648 13.585007 13.334965 12.706158 12.71747  12.12521 ],[12.199843 11.534794 11.758741 10.756236 10.222372 10.165546],[17 17 17 17 17 17],3.9577716708659834,5.944344058922316
2020-05-10 13:15:00,[14.110648 13.585007 13.334965 12.706158 12.71747  12.12521 ],[12.199843 11.534794 11.758741 10.756236 10.222372 10.165546],[17 17 17 17 17 17],3.9577716708659834,5.944344058922316
2020-05-10 13:30:00,[14.110648 13.585007 13.334965 12.706158 12.71747  12.12521 ],[12.199843 11.534794 11.758741 10.756236 10.222372 10.165546],[17 17 17 17 17 17],3.9577716708659834,5.944344058922316
2020-05-10 13:45:00,[14.110648 13.585007 13.334965 12.706158 12.71747  12.12521 ],[12.199843 11.534794 11.758741 10.756236 10.222372 10.165546],[17 17 17 17 17 17],3.9577716708659834,5.944344058922316
2020-05-10 14:00:00,[14.110648 13.585007 13.334965 12.706158 12.71747  12.12521 ],[12.199843 11.534794 11.758741 10.756236 10.222372 10.165546],[17 17 17 17 17 17],3.9577716708659834,5.944344058922316
2020-05-10 14:15:00,[14.110648 13.585007 13.334965 12.706158 12.71747  12.12521 ],[12.199843 11.534794 11.758741 10.756236 10.222372 10.165546],[17 17 17 17 17 17],3.9577716708659834,5.944344058922316
2020-05-10 14:30:00,[14.110648 13.585007 13.334965 12.706158 12.71747  12.12521 ],[12.199843 11.534794 11.758741 10.756236 10.222372 10.165546],[17 17 17 17 17 17],3.9577716708659834,5.944344058922316
2020-05-10 14:45:00,[14.110648 13.585007 13.334965 12.706158 12.71747  12.12521 ],[12.199843 11.534794 11.758741 10.756236 10.222372 10.165546],[17 17 17 17 17 17],3.9577716708659834,5.944344058922316
2020-05-10 15:00:00,[14.110648 13.585007 13.334965 12.706158 12.71747  12.12521 ],[12.199843 11.534794 11.758741 10.756236 10.222372 10.165546],[17 17 17 17 17 17],3.9577716708659834,5.944344058922316
2020-05-10 15:15:00,[14.110648 13.585007 13.334965 12.706158 12.71747  12.12521 ],[12.199843 11.534794 11.758741 10.756236 10.222372 10.165546],[17 17 17 17 17 17],3.9577716708659834,5.944344058922316
2020-05-10 15:30:00,[14.110648 13.585007 13.334965 12.706158 12.71747  12.12521 ],[12.199843 11.534794 11.758741 10.756236 10.222372 10.165546],[17 17 17 17 17 17],3.9577716708659834,5.944344058922316
2020-05-10 15:45:00,[13.650211 13.238519 13.111773 12.604629 12.564388 11.835333],[12.04054   11.401191  11.653113  10.706395  10.1949835 10.261183 ],[16 16 16 16 16 16],3.2188396190171344,5.006267530374227
2020-05-10 16:00:00,[13.635212 13.229564 13.106236 12.60642  12.562746 11.824318],[12.20097  11.549827 11.798561 10.920408 10.353616 10.426039],[16 16 16 16 16 16],3.225131285391235,4.841516887753556
2020-05-10 16:15:00,[13.63572  13.229886 13.106168 12.606718 12.562758 11.824752],[12.343299 11.683665 11.905128 11.110081 10.570728 10.649047],[16 16 16 16 16 16],3.224885106898617,4.668889763283554
2020-05-10 16:30:00,[13.635716  13.229887  13.106167  12.606714  12.5627575 11.824755 ],[12.339099 11.703799 11.895126 11.1262   10.58301  10.657122],[16 16 16 16 16 16],3.224885800147528,4.66107260730465
2020-05-10 16:45:00,[13.635716  13.229887  13.106167  12.606714  12.5627575 11.824755 ],[12.339099 11.703799 11.895126 11.1262   10.58301  10.657122],[16 16 16 16 17 17],3.642899626439916,5.064143961010702
2020-05-10 17:00:00,[14.111169 13.58482  13.334589 12.707183 12.71724  12.124555],[12.3505745 11.697251  11.873252  10.996908  10.458813  10.428938 ],[17 17 17 17 17 17],3.957783799483425,5.7448955084487325
2020-05-10 17:15:00,[14.110668 13.585013 13.334949 12.706181 12.717463 12.125214],[12.274865  11.6288595 11.784844  10.842981  10.3262825 10.257319 ],[17 17 17 17 17 17],3.95776723048011,5.863517465316563
2020-05-10 17:30:00,[14.110648 13.585007 13.334965 12.706158 12.71747  12.12521 ],[12.199843 11.534794 11.758741 10.756236 10.222372 10.165546],[17 17 17 16 16 16],3.417635998653217,5.405239230634789
2020-05-10 17:45:00,[13.633844 13.22882  13.106364 12.605382 12.562632 11.823179],[12.1877775 11.542508  11.781047  10.874676  10.322759  10.382002 ],[16 16 16 16 16 16],3.2258338565067426,4.869355881939219
2020-05-10 18:00:00,[14.041117  13.541568  13.31336   12.7021265 12.708453  12.073856 ],[12.527224 11.850051 12.102294 11.194285 10.61085  10.595644],[17 18 18 18 18 18],4.861143732197899,6.433665502698625
2020-05-10 18:15:00,[14.597925 13.943727 13.531333 12.78432  12.843877 12.461071],[12.407776  11.743977  11.8896675 10.905237  10.383063  10.229146 ],[18 18 18 18 18 18],4.698672010144723,6.788305116254613
2020-05-10 18:30:00,[14.598162 13.944288 13.531668 12.783793 12.844095 12.462078],[12.212737  11.5704565 11.71724   10.64228   10.1370535  9.910416 ],[18 18 18 18 18 18],4.69836920061169,7.020302255542193
2020-05-10 18:45:00,[14.914497 14.178878 13.659594 12.822107 12.928129 12.684189],[12.395124  11.7007265 11.976237  10.799492  10.266625  10.018148 ],[19 19 19 19 19 19],5.528380338981786,7.857383366475135
2020-05-10 19:00:00,[15.375005 14.507356 13.833572 12.832893 13.039291 13.029377],[12.668477  11.95612   12.223749  10.963218  10.4751425 10.089343 ],[21 21 21 21 21 21],7.288781675361759,9.650394515531824
2020-05-10 19:15:00,[15.421031 14.547808 13.831438 12.862638 13.022479 13.056805],[12.272315 11.612734 11.912226 10.6473   10.10836   9.723712],[20 20 20 20 20 20],6.2793338825913985,9.003657358434355
2020-05-10 19:30:00,[15.29889  14.453585 13.789551 12.846303 13.0024   12.972689],[12.03328   11.371417  11.927235  10.58975    9.9769335  9.738059 ],[20 20 20 20 20 20],6.337161855199083,9.105059949419728
2020-05-10 19:45:00,[15.298006 14.45283  13.789338 12.846326 13.0023   12.971678],[12.125301 11.399908 11.96924  10.641188 10.050998  9.790562],[20 20 20 20 20 20],6.337616901999557,9.04864822617093
2020-05-10 20:00:00,[15.298005  14.4528265 13.789339  12.846325  13.0023    12.971673 ],[12.143879 11.4401   11.945602 10.629174 10.043293  9.775275],[20 20 20 20 20 20],6.337618481403294,9.049468105287243
2020-05-10 20:15:00,[15.298005  14.4528265 13.789339  12.846325  13.0023    12.971673 ],[12.143879 11.4401   11.945602 10.629174 10.043293  9.775275],[20 20 20 20 20 20],6.337618481403294,9.049468105287243
2020-05-10 20:30:00,[15.298005  14.4528265 13.789339  12.846325  13.0023    12.971673 ],[12.143879 11.4401   11.945602 10.629174 10.043293  9.775275],[20 20 20 20 20 20],6.337618481403294,9.049468105287243
2020-05-10 20:45:00,[15.298005  14.4528265 13.789339  12.846325  13.0023    12.971673 ],[12.143879 11.4401   11.945602 10.629174 10.043293  9.775275],[20 20 20 20 20 20],6.337618481403294,9.049468105287243
2020-05-10 21:00:00,[15.445966 14.557317 13.852048 12.835694 13.043632 13.085622],[12.2934885 11.575471  12.0852585 10.731064  10.172928   9.852619 ],[21 21 21 21 21 21],7.257705677770602,9.92503860109149
2020-05-10 21:15:00,[15.4512005 14.561312  13.853171  12.835842  13.043899  13.090728 ],[12.229305 11.522695 12.072326 10.696905 10.135414  9.82247 ],[21 21 21 21 21 21],7.255258468399424,9.9630813979978
2020-05-10 21:30:00,[15.451229 14.561365 13.853182 12.835825 13.04391  13.090814],[12.17537  11.4529   12.099365 10.703801 10.128622  9.835493],[21 21 21 21 21 21],7.255230733417121,9.975697915519456
2020-05-10 21:45:00,[15.451229 14.561365 13.853182 12.835825 13.04391  13.090814],[12.17537  11.4529   12.099365 10.703801 10.128622  9.835493],[21 21 21 21 21 21],7.255230733417121,9.975697915519456
