,prediction_A,prediction_B,real_values,metrics_A,metrics_B
2020-05-19 06:00:00,[12.168462 12.239758 12.192338 12.171448 12.142946 12.238024],[11.979067 11.934572 11.879377 11.764334 11.813552 11.780234],[12 12 12 12 12 12],0.19550798250419393,0.16220729747582482
2020-05-19 06:15:00,[12.168238 12.239573 12.19241  12.171661 12.142952 12.238092],[11.946742 11.897583 11.850043 11.735979 11.782685 11.751397],[12 12 12 12 12 12],0.19549577862740838,0.18909820233477817
2020-05-19 06:30:00,[12.168238 12.239573 12.19241  12.171661 12.142952 12.238092],[11.946742 11.897583 11.850043 11.735979 11.782685 11.751397],[12 12 12 12 12 12],0.19549577862740838,0.18909820233477817
2020-05-19 06:45:00,[12.168238 12.239573 12.19241  12.171661 12.142952 12.238092],[11.946742 11.897583 11.850043 11.735979 11.782685 11.751397],[12 12 12 12 12 12],0.19549577862740838,0.18909820233477817
2020-05-19 07:00:00,[12.168238 12.239573 12.19241  12.171661 12.142952 12.238092],[11.946742 11.897583 11.850043 11.735979 11.782685 11.751397],[12 12 12 12 12 12],0.19549577862740838,0.18909820233477817
2020-05-19 07:15:00,[12.168238 12.239573 12.19241  12.171661 12.142952 12.238092],[11.946742 11.897583 11.850043 11.735979 11.782685 11.751397],[12 12 12 12 12 12],0.19549577862740838,0.18909820233477817
2020-05-19 07:30:00,[12.168238 12.239573 12.19241  12.171661 12.142952 12.238092],[11.946742 11.897583 11.850043 11.735979 11.782685 11.751397],[12 12 12 12 12 12],0.19549577862740838,0.18909820233477817
2020-05-19 07:45:00,[12.168238 12.239573 12.19241  12.171661 12.142952 12.238092],[11.946742 11.897583 11.850043 11.735979 11.782685 11.751397],[12 12 12 12 12 12],0.19549577862740838,0.18909820233477817
2020-05-19 08:00:00,[11.159003 11.229252 11.19461  11.183279 11.158185 11.243356],[11.00696  10.971674 10.938937 10.837228 10.887623 10.861511],[11 11 11 11 11 11],0.19729296650239178,0.10237351610227721
2020-05-19 08:15:00,[11.136774 11.217133 11.179969 11.156501 11.146192 11.237272],[10.992459 10.956546 10.914888 10.814027 10.86522  10.838246],[11 11 11 11 12 12],0.48878716802951805,0.6684773964171238
2020-05-19 08:30:00,[13.177986  13.259633  13.196328  13.1644945 13.133302  13.250042 ],[12.875441  12.814644  12.745545  12.6237755 12.663425  12.628885 ],[13 13 13 13 12 12],0.7084806886491986,0.4265743359925658
2020-05-19 08:45:00,[12.165779  12.231633  12.187526  12.16784   12.137275  12.2257595],[11.914773 11.85729  11.822262 11.706148 11.752435 11.725037],[12 12 12 12 12 12],0.1889817145478664,0.2169726975678137
2020-05-19 09:00:00,[12.167335 12.222987 12.171941 12.17876  12.124195 12.31305 ],[11.916048 11.879311 11.821502 11.714605 11.759564 11.721109],[12 12 12 12 12 13],0.3231529858516093,0.5520108811470724
2020-05-19 09:15:00,[13.198114 13.261395 13.203098 13.183553 13.139888 13.242053],[12.903619  12.842741  12.788496  12.661052  12.7024765 12.665826 ],[13 12 12 12 12 12],1.1045851683269272,0.6726829890974262
2020-05-19 09:30:00,[12.184375  12.2525835 12.204739  12.185227  12.153297  12.252041 ],[11.957256 11.911678 11.866173 11.741789 11.795413 11.760556],[12 12 12 12 12 12],0.2085842285431276,0.17953626007218773
2020-05-19 09:45:00,[11.141402 11.210509 11.177829 11.162681 11.142804 11.220476],[11.033347  10.997239  10.956772  10.8527975 10.90699   10.881631 ],[11 11 11 11 11 11],0.17860551569422908,0.088805963605749
2020-05-19 10:00:00,[11.102215 11.179569 11.148013 11.116309 11.115815 11.193624],[11.021047  10.9770155 10.930176  10.830874  10.883277  10.859271 ],[11 11 11 11 11 11],0.1466469195446866,0.10636339781686313
