,prediction_A,prediction_B,real_values,metrics_A,metrics_B
2020-05-19 06:00:00,[28.618587 28.632015 28.371777 28.386242 28.382711 28.276033],[28.99231  28.87     28.62006  28.20462  28.122501 28.057995],[29 29 29 29 29 29],0.5711720091859106,0.6391817268123666
2020-05-19 06:15:00,[29.532211 29.576183 29.271484 29.306725 29.312649 29.203043],[29.974764 29.842613 29.586996 29.160055 29.065771 28.996471],[30 29 29 29 29 29],0.3780592777006863,0.4252752521720303
2020-05-19 06:30:00,[26.839445 26.742641 26.54465  26.623585 26.543806 26.483019],[26.870369 26.787912 26.566103 26.17282  26.09201  26.05118 ],[27 27 27 27 27 27],0.3908167809186458,0.6657057303980604
2020-05-19 06:45:00,[25.90543  25.807508 25.651484 25.686882 25.611645 25.55303 ],[25.950718 25.880169 25.65476  25.273914 25.217047 25.171415],[26 26 26 26 26 26],0.3204437218326172,0.5719480422431664
2020-05-19 07:00:00,[25.876959 25.80879  25.651783 25.649956 25.597569 25.530369],[25.932909 25.843449 25.619919 25.242687 25.192366 25.137922],[26 26 26 26 25 25],0.39451775830929936,0.36583716051537846
2020-05-19 07:15:00,[24.03059  23.903208 23.813457 23.824135 23.726656 23.685328],[23.90244  23.828835 23.627827 23.281591 23.248192 23.203678],[24 24 24 24 23 23],0.4230314922952856,0.36435412640322007
2020-05-19 07:30:00,[22.13557  21.999708 21.956158 21.949242 21.834822 21.813337],[21.971338 21.910826 21.72559  21.41173  21.405617 21.364594],[22 23 23 22 22 22],0.6018406650950439,0.8077064470872742
2020-05-19 07:45:00,[22.105188 22.01235  21.945457 21.910002 21.822643 21.80436 ],[21.954031 21.875061 21.690922 21.385017 21.382626 21.33014 ],[22 22 22 22 22 22],0.12384286215011323,0.4692761380695577
2020-05-19 08:00:00,[20.224146 20.090809 20.056156 20.07565  19.937263 19.972662],[19.859684 19.804386 19.655865 19.385914 19.387611 19.341124],[20 22 22 22 22 22],1.8047108815628736,2.2753396637500285
2020-05-19 08:15:00,[23.053135 23.001118 22.909756 22.837706 22.787207 22.73556 ],[22.947165 22.824764 22.639866 22.338974 22.322489 22.260616],[23 23 23 23 22 23],0.34807354978930044,0.456588506211186
2020-05-19 08:30:00,[22.11558  22.009785 21.929232 21.931374 21.825232 21.844236],[21.7505   21.667648 21.508844 21.217703 21.18928  21.131578],[22 22 22 22 22 22],0.1140017884252212,0.6373583917832013
2020-05-19 08:45:00,[18.28089  18.128273 18.143747 18.172443 18.011318 18.019676],[18.035595 17.981695 17.855106 17.614048 17.638288 17.609154],[18 18 17 17 17 17],0.8982054724920788,0.5610027315394015
2020-05-19 09:00:00,[18.218845 18.19232  18.13786  18.079702 18.003849 18.021173],[18.18313  18.109398 17.963255 17.717047 17.771072 17.720255],[18 19 19 19 20 20],1.3032553993600975,1.51178009105967
2020-05-19 09:15:00,[21.11964  21.088364 20.987713 20.937498 20.871225 20.89544 ],[20.833729 20.713516 20.562487 20.304379 20.294664 20.229315],[21 21 21 21 21 21],0.09460029096016934,0.559237614556301
2020-05-19 09:30:00,[20.206993 20.105038 20.059162 20.051914 19.936611 19.954214],[19.786362 19.67587  19.55871  19.316586 19.301615 19.246523],[20 20 20 21 21 21],0.7280922359217245,1.234133729114224
2020-05-19 09:45:00,[23.013836 22.987774 22.870333 22.796076 22.755646 22.73541 ],[22.889877 22.767206 22.58994  22.29788  22.273184 22.203112],[23 23 23 23 23 23],0.17722682554744645,0.5613577203882085
2020-05-19 10:00:00,[23.970638 23.924217 23.800304 23.748037 23.701183 23.662859],[23.794432 23.662796 23.482586 23.17162  23.12879  23.059498],[24 24 24 24 24 24],0.228372553101037,0.6774274811261561
