,prediction,real_values,metrics
2020-05-10 06:00:00,"[14.519161938971937, 14.421900945599319, 14.324748922908691, 14.227872413287852, 14.131429541841, 14.035569358162974]","[19, 19, 19, 19, 19, 19]",4.726108775064211
2020-05-10 06:15:00,"[14.454699635864449, 14.359065503588694, 14.263801096736582, 14.169047542738827, 14.074937035478952, 13.981592417688205]","[19, 19, 19, 19, 19, 19]",4.785540198739044
2020-05-10 06:30:00,"[14.389899506211725, 14.29667294182856, 14.203994787189963, 14.111978858320878, 14.020730255750097, 13.930345183230585]","[19, 19, 19, 19, 19, 19]",4.843608431203494
2020-05-10 06:45:00,"[14.326531424200635, 14.236082799985883, 14.14627792363934, 14.05720518099393, 13.968945163325596, 13.881570686565079]","[19, 19, 19, 19, 19, 19]",4.899589874693142
2020-05-10 07:00:00,"[14.25000075091082, 14.16231135711203, 14.075288061279565, 13.988997465518617, 13.903499863662967, 13.818849411349058]","[19, 19, 19, 19, 19, 19]",4.969025615647915
2020-05-10 07:15:00,"[14.218009590535303, 14.133333866500205, 14.049279344829028, 13.96589551772944, 13.883227456571685, 13.801316080988103]","[19, 19, 19, 20, 20, 20]",5.527363930414984
2020-05-10 07:30:00,"[14.58233421468546, 14.503971426913955, 14.426121490935877, 14.348817921498162, 14.272092194422438, 14.195974077710607]","[20, 20, 20, 20, 20, 20]",5.613333203061216
2020-05-10 07:45:00,"[14.512072115647191, 14.435430378147986, 14.359144744681911, 14.283246246758125, 14.207766243260235, 14.132736708957658]","[20, 20, 20, 20, 20, 20]",5.6797455847669625
2020-05-10 08:00:00,"[14.834538502294658, 14.762342021238531, 14.690344639386643, 14.61857664211081, 14.547070892568543, 14.475863043069369]","[20, 20, 20, 20, 20, 20]",5.3466147539305275
2020-05-10 08:15:00,"[14.686711539982854, 14.614616654038027, 14.542568235195784, 14.470608830898588, 14.398785528859156, 14.327150012794977]","[20, 20, 20, 20, 20, 20]",5.494632937994984
2020-05-10 08:30:00,"[14.885149028917372, 14.815873131320846, 14.746537932173505, 14.67719790588437, 14.607913479498292, 14.538750916786636]","[20, 20, 20, 20, 20, 20]",5.289420199348171
2020-05-10 08:45:00,"[15.066827484004481, 14.999373110537288, 14.931794188492674, 14.864162164450786, 14.796555297919578, 14.729058341119476]","[20, 20, 20, 20, 20, 20]",5.1033430794590835
2020-05-10 09:00:00,"[14.933922486563239, 14.866471954789013, 14.798885547910649, 14.731254553772452, 14.663677298623286, 14.596258618107848]","[20, 20, 20, 20, 20, 20]",5.236192678202928
2020-05-10 09:15:00,"[15.122285723295914, 15.056891058493434, 14.991422319745768, 14.925989736685713, 14.860710174186462, 14.795706402453222]","[20, 20, 20, 20, 20, 20]",5.042400633086413
2020-05-10 09:30:00,"[15.482535294892934, 15.419744554245751, 15.356937017714289, 15.294234383219973, 15.23176401724436, 15.169658087740116]","[20, 20, 20, 20, 20, 20]",4.675410295442362
2020-05-10 09:45:00,"[15.299070862125847, 15.236009398364853, 15.17316401906805, 15.11067744659793, 15.048696358891302, 14.987370347309781]","[20, 20, 20, 20, 20, 20]",4.8586696672253336
2020-05-10 10:00:00,"[15.31665397993605, 15.255816561051207, 15.19534562124403, 15.135392149286, 15.07610957956791, 15.017652674866795]","[20, 20, 20, 20, 20, 20]",4.834918155585417
2020-05-10 10:15:00,"[15.679374620856947, 15.62297935534664, 15.567225824840259, 15.512268302555821, 15.458261171698135, 15.405357778163285]","[20, 20, 20, 20, 20, 20]",4.460072211635415
2020-05-10 10:30:00,"[15.840501812094677, 15.787994287258378, 15.736383931329478, 15.685821546708567, 15.63645584320085, 15.588432332537888]","[20, 20, 20, 20, 20, 20]",4.28826736379155
2020-05-10 10:45:00,"[15.751375150939712, 15.702227999477932, 15.654202875917692, 15.607443611974547, 15.562090092469749, 15.518277231367122]","[20, 20, 20, 20, 20, 20]",4.36812402266745
2020-05-10 11:00:00,"[15.931082619868352, 15.88698188810154, 15.844221012662066, 15.802929661207916, 15.763231751287378, 15.725244569810032]","[20, 20, 20, 20, 20, 20]",4.1749779288188655
2020-05-10 11:15:00,"[16.060759700434424, 16.02291687981952, 15.986578723698958, 15.951856291565482, 15.918853749082711, 15.887667667513563]","[20, 20, 20, 20, 20, 20]",4.028996029656756
2020-05-10 11:30:00,"[16.259529409383614, 16.22702851427301, 16.196162635728275, 16.16702086488899, 16.139684498617783, 16.11422655347308]","[20, 20, 20, 20, 20, 20]",3.816381638483993
2020-05-10 11:45:00,"[16.390647347741854, 16.364739746482982, 16.340515743646364, 16.318041233840738, 16.297374309086862, 16.278564993058264]","[20, 20, 20, 20, 20, 20]",3.6685534064365233
2020-05-10 12:00:00,"[16.6358575946877, 16.617066553160775, 16.599975190104537, 16.584624227681278, 16.571046967967153, 16.559269258044697]","[20, 20, 20, 20, 20, 20]",3.4054613034931083
2020-05-10 12:15:00,"[16.81111941531259, 16.797417289158382, 16.785360409038987, 16.77496905065633, 16.76625703415119, 16.759231890261024]","[20, 20, 20, 20, 20, 21]",3.405912395059808
2020-05-10 12:30:00,"[17.03341754555325, 17.026993284199943, 17.022095681288654, 17.018726989324314, 17.016884694482417, 17.01656184203467]","[20, 20, 21, 19, 19, 19]",2.74637091280866
2020-05-10 12:45:00,"[17.158249288242764, 17.1570016987947, 17.15711138339543, 17.158569395880185, 17.161364148879787, 17.165481844674293]","[19, 19, 19, 19, 19, 19]",1.840372797413061
