,prediction,real_values,metrics
2020-05-10 16:00:00,"[18.820626514145964, 18.799052681684696, 18.78569068598808, 18.7805877730325, 18.78374537057677, 18.795119716869074]","[9, 10, 10, 10, 10, 10]",8.96905261872162
2020-05-10 16:15:00,"[18.452078954903584, 18.45441200015956, 18.46536445493678, 18.484845738137132, 18.512720000089057, 18.54880765563406]","[10, 10, 10, 9, 9, 9]",9.001953347319693
2020-05-10 16:30:00,"[18.28163886510685, 18.309511109304307, 18.345974704451997, 18.39080397876467, 18.443731336033693, 18.50444962714138]","[9, 9, 9, 9, 7, 7]",10.09671240037332
2020-05-10 16:45:00,"[18.073873436288004, 18.126200131103502, 18.186730984924974, 18.25511868666489, 18.330979535868014, 18.413896519574024]","[9, 7, 7, 6, 7, 7]",11.106503527590398
2020-05-10 17:00:00,"[17.778724211633133, 17.8529006455456, 17.93459923526563, 18.023371337894556, 18.118739107776438, 18.220199104713732]","[6, 7, 7, 7, 6, 6]",11.502181505305707
2020-05-10 17:15:00,"[17.70076167465143, 17.79589933512011, 17.89762970676968, 18.00542242922938, 18.11872636726669, 18.23697357955428]","[7, 6, 6, 8, 10, 9]",10.380647145085625
2020-05-10 17:30:00,"[17.587026506280434, 17.69923201761425, 17.816889499579496, 17.93941433150606, 18.066210378795244, 18.19667411019875]","[8, 10, 9, 9, 9, 11]",8.590966270956669
2020-05-10 17:45:00,"[17.496775095315723, 17.621787586037364, 17.750854494680873, 17.883368295027033, 18.0187200590207, 18.15630348320551]","[9, 9, 11, 11, 9, 9]",8.212393161882488
2020-05-10 18:00:00,"[17.70345625068857, 17.838989403592528, 17.977107542751913, 18.11720661158353, 18.258691021152, 18.400977394081387]","[11, 9, 9, 9, 9, 9]",8.76429984846995
2020-05-10 18:15:00,"[17.930312112982882, 18.072052380108143, 18.214962250563918, 18.35846990263934, 18.502020717263036, 18.645080545540115]","[9, 9, 9, 9, 9, 8]",9.470614504463896
2020-05-10 18:30:00,"[17.976622307762167, 18.118999955483723, 18.26129334901174, 18.402989460055675, 18.543599366292767, 18.682660879945857]","[9, 9, 8, 8, 9, 12]",9.246535247012707
