,prediction,real_values,metrics
2020-05-10 06:00:00,"[13.351838553354202, 13.390166581953043, 13.42972669079473, 13.470383131918789, 13.511989604791113, 13.554389956316605]","[11, 11, 11, 11, 11, 11]",2.452393569028268
2020-05-10 06:15:00,"[13.380570734531048, 13.421875717945422, 13.464085854904711, 13.507035462540204, 13.550550012815519, 13.594447066616015]","[11, 11, 11, 11, 11, 11]",2.487502290632134
2020-05-10 06:30:00,"[13.417716821075558, 13.460608322768053, 13.50398354490366, 13.54765206300949, 13.591417137219338, 13.635076843137515]","[11, 11, 11, 11, 10, 11]",2.7234267505921115
2020-05-10 06:45:00,"[13.418429885755804, 13.461739017103584, 13.505063058694668, 13.548195857519524, 13.590927764490967, 13.63304689617039]","[11, 10, 11, 11, 11, 11]",2.7156007877144837
2020-05-10 07:00:00,"[13.463557573177415, 13.506659316132627, 13.549290234909517, 13.591235645591537, 13.632280375507571, 13.672210103597326]","[11, 11, 11, 11, 11, 11]",2.570196053785048
2020-05-10 07:15:00,"[13.418437602388108, 13.457531581258264, 13.495601274802254, 13.532436757181953, 13.567831276364931, 13.601582572239026]","[11, 11, 11, 11, 11, 11]",2.513017870526164
2020-05-10 07:30:00,"[13.473677201301768, 13.510170479471833, 13.545158309517596, 13.578440226933404, 13.609821934342786, 13.63911656925345]","[11, 11, 11, 11, 11, 11]",2.5600236441522592
2020-05-10 07:45:00,"[13.459229449702821, 13.489914055571965, 13.518622540474137, 13.545177002468716, 13.569408795819642, 13.591159649469692]","[11, 11, 11, 11, 11, 11]",2.5293225988650185
2020-05-10 08:00:00,"[13.399864335086997, 13.423491382878089, 13.444758866996493, 13.463519191310684, 13.479636453231064, 13.492987359474863]","[11, 11, 11, 11, 11, 11]",2.4509187035380124
2020-05-10 08:15:00,"[13.337946270640437, 13.35343536789921, 13.366263279000528, 13.376320596226732, 13.383511542584714, 13.387754627854495]","[11, 11, 11, 11, 11, 12]",2.2307600520018673
2020-05-10 08:30:00,"[13.293229664169385, 13.30050981318482, 13.304949364612053, 13.306479655077595, 13.305046730096876, 13.30061172424191]","[11, 11, 12, 12, 12, 12]",1.700772738663773
2020-05-10 08:45:00,"[13.204363532516318, 13.202286659932536, 13.197301571947975, 13.189385107994505, 13.178529108878843, 13.16474048703754]","[12, 12, 12, 12, 12, 12]",1.1895169876210478
2020-05-10 09:00:00,"[13.127337744685873, 13.116197405305822, 13.102185996264893, 13.085325323475336, 13.065651767336586, 13.043216050447807]","[12, 12, 12, 12, 12, 12]",1.0903703868780608
2020-05-10 09:15:00,"[13.028653286381772, 13.008512648038312, 12.985674724475453, 12.960204678080586, 12.932180853415723, 12.901694256338232]","[12, 12, 12, 12, 12, 12]",0.9704626651330707
2020-05-10 09:30:00,"[12.92632747740008, 12.89836505019357, 12.867975718980684, 12.83526184737151, 12.800336983681662, 12.763325100003982]","[12, 12, 12, 12, 12, 12]",0.8504303868194175
2020-05-10 09:45:00,"[12.77439741718575, 12.739154145086689, 12.701863685677385, 12.662659858156804, 12.621684953280608, 12.57908877755563]","[12, 12, 12, 12, 12, 12]",0.6830820990498648
